N_ROWS	N_COLS	MRTIME_onDEV	MRTIME_HOST	CT_DtH_M	CT_HtD_V
1	1	2.694130e-05	0.000000e+00	8.106232e-06	1.907349e-06
2	1	2.694130e-05	0.000000e+00	8.106232e-06	1.907349e-06
4	1	2.813339e-05	0.000000e+00	6.914139e-06	1.192093e-06
8	1	2.813339e-05	0.000000e+00	6.914139e-06	1.907349e-06
16	1	2.503395e-05	0.000000e+00	7.867813e-06	9.536743e-07
32	1	2.908707e-05	0.000000e+00	6.914139e-06	9.536743e-07
64	1	3.099442e-05	0.000000e+00	6.914139e-06	9.536743e-07
128	1	3.600121e-05	9.536743e-07	7.867813e-06	9.536743e-07
256	1	4.506111e-05	0.000000e+00	8.106232e-06	9.536743e-07
512	1	6.389618e-05	9.536743e-07	7.867813e-06	9.536743e-07
1024	1	1.010895e-04	2.145767e-06	8.821487e-06	9.536743e-07
2048	1	1.759529e-04	5.006790e-06	1.096725e-05	9.536743e-07
4096	1	3.249645e-04	8.821487e-06	1.502037e-05	9.536743e-07
8192	1	6.239414e-04	1.907349e-05	2.408028e-05	9.536743e-07
1	2	2.598763e-05	0.000000e+00	5.960464e-06	9.536743e-07
2	2	2.217293e-05	0.000000e+00	5.960464e-06	1.907349e-06
4	2	2.813339e-05	0.000000e+00	6.914139e-06	9.536743e-07
8	2	2.789497e-05	0.000000e+00	6.914139e-06	1.907349e-06
16	2	2.813339e-05	0.000000e+00	6.914139e-06	9.536743e-07
32	2	2.884865e-05	0.000000e+00	7.152557e-06	9.536743e-07
64	2	3.099442e-05	0.000000e+00	5.960464e-06	9.536743e-07
128	2	3.504753e-05	0.000000e+00	6.914139e-06	1.192093e-06
256	2	4.506111e-05	0.000000e+00	8.106232e-06	9.536743e-07
512	2	6.389618e-05	9.536743e-07	9.059906e-06	9.536743e-07
1024	2	1.018047e-04	2.145767e-06	1.096725e-05	9.536743e-07
2048	2	1.759529e-04	5.006790e-06	1.502037e-05	1.907349e-06
4096	2	3.249645e-04	1.001358e-05	2.288818e-05	9.536743e-07
8192	2	6.229877e-04	2.408028e-05	4.100800e-05	1.907349e-06
1	4	2.694130e-05	0.000000e+00	6.914139e-06	2.145767e-06
2	4	2.813339e-05	0.000000e+00	6.914139e-06	9.536743e-07
4	4	2.789497e-05	0.000000e+00	7.152557e-06	9.536743e-07
8	4	2.694130e-05	0.000000e+00	6.914139e-06	9.536743e-07
16	4	2.789497e-05	0.000000e+00	6.914139e-06	1.907349e-06
32	4	2.908707e-05	0.000000e+00	6.914139e-06	9.536743e-07
64	4	3.099442e-05	0.000000e+00	7.867813e-06	9.536743e-07
128	4	3.600121e-05	0.000000e+00	7.867813e-06	1.192093e-06
256	4	4.506111e-05	0.000000e+00	8.821487e-06	9.536743e-07
512	4	6.484985e-05	9.536743e-07	1.096725e-05	9.536743e-07
1024	4	1.020432e-04	3.099442e-06	1.502037e-05	9.536743e-07
2048	4	1.759529e-04	4.053116e-06	2.288818e-05	9.536743e-07
4096	4	3.240108e-04	1.096725e-05	4.100800e-05	1.907349e-06
8192	4	6.229877e-04	2.098083e-05	7.295609e-05	1.907349e-06
1	8	2.717972e-05	0.000000e+00	6.914139e-06	9.536743e-07
2	8	2.813339e-05	0.000000e+00	6.914139e-06	9.536743e-07
4	8	2.694130e-05	0.000000e+00	6.914139e-06	9.536743e-07
8	8	2.813339e-05	0.000000e+00	6.914139e-06	9.536743e-07
16	8	2.884865e-05	0.000000e+00	7.152557e-06	1.907349e-06
32	8	3.004074e-05	0.000000e+00	8.106232e-06	9.536743e-07
64	8	3.099442e-05	0.000000e+00	7.867813e-06	9.536743e-07
128	8	3.600121e-05	9.536743e-07	8.821487e-06	9.536743e-07
256	8	4.506111e-05	9.536743e-07	1.096725e-05	9.536743e-07
512	8	6.413460e-05	1.907349e-06	1.502037e-05	9.536743e-07
1024	8	1.018047e-04	3.814697e-06	2.384186e-05	1.192093e-06
2048	8	1.759529e-04	1.001358e-05	4.005432e-05	1.907349e-06
4096	8	3.249645e-04	1.716614e-05	7.295609e-05	1.907349e-06
8192	8	8.687973e-04	3.600121e-05	1.368523e-04	1.907349e-06
1	16	2.694130e-05	0.000000e+00	6.914139e-06	1.192093e-06
2	16	2.789497e-05	0.000000e+00	6.914139e-06	1.907349e-06
4	16	2.717972e-05	0.000000e+00	6.914139e-06	9.536743e-07
8	16	2.694130e-05	0.000000e+00	7.152557e-06	9.536743e-07
16	16	2.884865e-05	0.000000e+00	7.867813e-06	9.536743e-07
32	16	3.004074e-05	0.000000e+00	8.106232e-06	9.536743e-07
64	16	3.099442e-05	0.000000e+00	9.059906e-06	9.536743e-07
128	16	3.600121e-05	9.536743e-07	1.096725e-05	9.536743e-07
256	16	4.482269e-05	1.907349e-06	1.502037e-05	9.536743e-07
512	16	6.389618e-05	3.099442e-06	2.384186e-05	9.536743e-07
1024	16	1.008511e-04	6.914139e-06	4.100800e-05	1.907349e-06
2048	16	1.759529e-04	1.192093e-05	7.295609e-05	1.907349e-06
4096	16	4.420280e-04	2.598763e-05	1.358986e-04	1.907349e-06
8192	16	8.568764e-04	5.912781e-05	2.651215e-04	1.907349e-06
1	32	2.694130e-05	0.000000e+00	7.152557e-06	9.536743e-07
2	32	2.813339e-05	0.000000e+00	7.152557e-06	9.536743e-07
4	32	2.789497e-05	0.000000e+00	6.914139e-06	9.536743e-07
8	32	2.789497e-05	0.000000e+00	7.152557e-06	1.907349e-06
16	32	2.789497e-05	0.000000e+00	7.867813e-06	9.536743e-07
32	32	2.884865e-05	9.536743e-07	8.821487e-06	1.192093e-06
64	32	3.194809e-05	0.000000e+00	1.096725e-05	9.536743e-07
128	32	3.600121e-05	2.145767e-06	1.502037e-05	9.536743e-07
256	32	4.506111e-05	2.861023e-06	2.384186e-05	9.536743e-07
512	32	6.389618e-05	6.914139e-06	4.005432e-05	1.907349e-06
1024	32	1.018047e-04	1.120567e-05	7.295609e-05	1.907349e-06
2048	32	2.038479e-04	2.384186e-05	1.368523e-04	1.907349e-06
4096	32	4.360676e-04	4.696846e-05	2.648830e-04	1.907349e-06
8192	32	8.440018e-04	1.029968e-04	4.410744e-04	1.907349e-06
1	64	2.694130e-05	0.000000e+00	6.914139e-06	9.536743e-07
2	64	2.288818e-05	0.000000e+00	6.914139e-06	9.536743e-07
4	64	2.694130e-05	0.000000e+00	8.106232e-06	1.907349e-06
8	64	2.789497e-05	0.000000e+00	8.106232e-06	9.536743e-07
16	64	2.694130e-05	0.000000e+00	9.059906e-06	1.907349e-06
32	64	2.908707e-05	9.536743e-07	1.096725e-05	9.536743e-07
64	64	3.194809e-05	1.907349e-06	1.502037e-05	9.536743e-07
128	64	3.600121e-05	1.907349e-06	2.312660e-05	1.192093e-06
256	64	4.601479e-05	5.960464e-06	4.100800e-05	1.907349e-06
512	64	6.484985e-05	1.001358e-05	7.295609e-05	1.907349e-06
1024	64	1.118183e-04	2.002716e-05	1.370907e-04	1.907349e-06
2048	64	2.210140e-04	4.100800e-05	2.658367e-04	1.907349e-06
4096	64	4.339218e-04	9.512901e-05	4.389286e-04	1.907349e-06
8192	64	8.411407e-04	2.031326e-04	7.960796e-04	1.907349e-06
1	128	2.789497e-05	0.000000e+00	6.914139e-06	9.536743e-07
2	128	2.789497e-05	0.000000e+00	8.106232e-06	9.536743e-07
4	128	2.789497e-05	0.000000e+00	8.106232e-06	9.536743e-07
8	128	2.694130e-05	0.000000e+00	9.059906e-06	9.536743e-07
16	128	2.884865e-05	0.000000e+00	1.096725e-05	1.907349e-06
32	128	2.908707e-05	1.192093e-06	1.597404e-05	9.536743e-07
64	128	3.194809e-05	3.099442e-06	2.312660e-05	9.536743e-07
128	128	3.695488e-05	5.006790e-06	4.100800e-05	1.907349e-06
256	128	4.506111e-05	1.001358e-05	7.200241e-05	1.907349e-06
512	128	6.794930e-05	2.098083e-05	1.358986e-04	1.907349e-06
1024	128	1.199245e-04	3.910065e-05	2.660751e-04	1.907349e-06
2048	128	2.260208e-04	8.106232e-05	4.410744e-04	1.907349e-06
4096	128	4.339218e-04	1.878738e-04	7.879734e-04	2.861023e-06
8192	128	8.389950e-04	4.670620e-04	1.507044e-03	3.099442e-06
1	256	2.694130e-05	0.000000e+00	8.106232e-06	9.536743e-07
2	256	2.717972e-05	0.000000e+00	8.821487e-06	9.536743e-07
4	256	2.598763e-05	0.000000e+00	8.821487e-06	9.536743e-07
8	256	2.789497e-05	9.536743e-07	1.096725e-05	9.536743e-07
16	256	2.789497e-05	1.907349e-06	1.502037e-05	9.536743e-07
32	256	2.908707e-05	2.145767e-06	2.312660e-05	9.536743e-07
64	256	3.099442e-05	5.006790e-06	4.005432e-05	1.907349e-06
128	256	3.600121e-05	9.775162e-06	7.295609e-05	1.907349e-06
256	256	4.696846e-05	1.788139e-05	1.358986e-04	1.907349e-06
512	256	7.200241e-05	3.600121e-05	2.648830e-04	1.907349e-06
1024	256	1.239777e-04	7.081032e-05	4.458427e-04	2.145767e-06
2048	256	2.260208e-04	1.499653e-04	8.101463e-04	1.907349e-06
4096	256	4.298687e-04	4.179478e-04	1.563072e-03	2.861023e-06
8192	256	8.349419e-04	9.570122e-04	3.052950e-03	5.006790e-06
1	512	2.598763e-05	0.000000e+00	8.106232e-06	9.536743e-07
2	512	2.694130e-05	0.000000e+00	8.106232e-06	1.907349e-06
4	512	2.694130e-05	9.536743e-07	1.096725e-05	1.907349e-06
8	512	2.789497e-05	9.536743e-07	1.502037e-05	1.907349e-06
16	512	2.813339e-05	1.907349e-06	2.288818e-05	1.907349e-06
32	512	2.908707e-05	5.006790e-06	4.005432e-05	1.907349e-06
64	512	3.099442e-05	8.821487e-06	7.200241e-05	1.907349e-06
128	512	3.719330e-05	1.788139e-05	1.361370e-04	1.907349e-06
256	512	5.006790e-05	3.504753e-05	2.648830e-04	2.145767e-06
512	512	7.486343e-05	7.486343e-05	4.780293e-04	1.907349e-06
1024	512	1.258850e-04	1.800060e-04	8.630753e-04	1.907349e-06
2048	512	2.269745e-04	4.949570e-04	1.605988e-03	3.099442e-06
4096	512	4.339218e-04	1.058102e-03	3.167868e-03	5.960464e-06
8192	512	8.358955e-04	2.281904e-03	6.259203e-03	6.914139e-06
1	1024	2.598763e-05	0.000000e+00	1.001358e-05	1.907349e-06
2	1024	2.694130e-05	9.536743e-07	1.192093e-05	1.907349e-06
4	1024	2.694130e-05	2.145767e-06	1.502037e-05	1.907349e-06
8	1024	2.813339e-05	3.099442e-06	2.288818e-05	1.907349e-06
16	1024	2.789497e-05	5.006790e-06	4.005432e-05	2.145767e-06
32	1024	3.004074e-05	1.001358e-05	7.295609e-05	1.907349e-06
64	1024	3.290176e-05	2.002716e-05	1.370907e-04	1.907349e-06
128	1024	3.910065e-05	3.981590e-05	2.639294e-04	2.861023e-06
256	1024	5.197525e-05	1.099110e-04	4.529953e-04	2.861023e-06
512	1024	7.891655e-05	2.260208e-04	8.499622e-04	2.861023e-06
1024	1024	1.308918e-04	4.489422e-04	1.591921e-03	3.814697e-06
2048	1024	2.338886e-04	1.105070e-03	3.128052e-03	5.006790e-06
4096	1024	4.470348e-04	2.250910e-03	6.376028e-03	7.152557e-06
8192	1024	8.668900e-04	4.785061e-03	1.276803e-02	6.914139e-06
1	2048	2.598763e-05	9.536743e-07	1.096725e-05	2.145767e-06
2	2048	2.694130e-05	9.536743e-07	1.502037e-05	1.907349e-06
4	2048	2.789497e-05	2.145767e-06	2.312660e-05	1.907349e-06
8	2048	2.789497e-05	1.096725e-05	4.005432e-05	2.145767e-06
16	2048	2.908707e-05	1.811981e-05	7.295609e-05	2.861023e-06
32	2048	3.099442e-05	2.002716e-05	1.368523e-04	2.861023e-06
64	2048	3.504753e-05	5.388260e-05	2.799034e-04	2.861023e-06
128	2048	4.386902e-05	1.020432e-04	4.599094e-04	2.861023e-06
