N	OP_P_T	T_B	TIME_DEVICE	TIME_HOST	TIME_onDEV
1	1	64	4.982948e-05	0.000000e+00	1.311302e-05
1	1	128	4.911423e-05	0.000000e+00	1.287460e-05
1	1	256	4.887581e-05	0.000000e+00	1.382828e-05
1	1	512	4.506111e-05	0.000000e+00	1.311302e-05
1	1	1024	4.696846e-05	0.000000e+00	1.287460e-05
1	2	64	4.720688e-05	0.000000e+00	1.382828e-05
1	2	128	4.696846e-05	0.000000e+00	1.382828e-05
1	2	256	4.696846e-05	0.000000e+00	1.406670e-05
1	2	512	4.792213e-05	0.000000e+00	1.406670e-05
1	2	1024	4.696846e-05	0.000000e+00	1.382828e-05
1	3	64	4.696846e-05	0.000000e+00	1.287460e-05
1	3	128	4.577637e-05	0.000000e+00	1.382828e-05
1	3	256	4.792213e-05	0.000000e+00	1.311302e-05
1	3	512	4.696846e-05	0.000000e+00	1.382828e-05
1	3	1024	4.696846e-05	0.000000e+00	1.311302e-05
1	4	64	4.792213e-05	0.000000e+00	1.382828e-05
1	4	128	4.696846e-05	0.000000e+00	1.287460e-05
1	4	256	4.792213e-05	0.000000e+00	1.406670e-05
1	4	512	4.792213e-05	0.000000e+00	1.406670e-05
1	4	1024	4.696846e-05	0.000000e+00	1.311302e-05
1	5	64	4.696846e-05	0.000000e+00	1.382828e-05
1	5	128	4.816055e-05	0.000000e+00	1.382828e-05
1	5	256	4.696846e-05	0.000000e+00	1.311302e-05
1	5	512	4.792213e-05	0.000000e+00	1.311302e-05
1	5	1024	4.696846e-05	0.000000e+00	1.287460e-05
1	6	64	4.696846e-05	0.000000e+00	1.406670e-05
1	6	128	4.792213e-05	0.000000e+00	1.382828e-05
1	6	256	4.696846e-05	0.000000e+00	1.406670e-05
1	6	512	4.792213e-05	0.000000e+00	1.311302e-05
1	6	1024	4.792213e-05	0.000000e+00	1.382828e-05
1	7	64	6.008148e-05	0.000000e+00	1.478195e-05
1	7	128	5.984306e-05	0.000000e+00	1.502037e-05
1	7	256	5.888939e-05	0.000000e+00	1.502037e-05
1	7	512	5.984306e-05	0.000000e+00	1.502037e-05
1	7	1024	5.888939e-05	0.000000e+00	1.502037e-05
1	8	64	6.008148e-05	0.000000e+00	1.502037e-05
1	8	128	5.912781e-05	0.000000e+00	1.406670e-05
1	8	256	6.008148e-05	0.000000e+00	1.502037e-05
1	8	512	4.982948e-05	0.000000e+00	1.406670e-05
1	8	1024	5.006790e-05	0.000000e+00	1.382828e-05
1	9	64	4.982948e-05	0.000000e+00	1.382828e-05
1	9	128	4.982948e-05	0.000000e+00	1.382828e-05
1	9	256	4.816055e-05	0.000000e+00	1.382828e-05
1	9	512	4.792213e-05	0.000000e+00	1.287460e-05
1	9	1024	4.696846e-05	0.000000e+00	1.311302e-05
1	10	64	4.792213e-05	0.000000e+00	1.311302e-05
1	10	128	4.792213e-05	0.000000e+00	1.287460e-05
1	10	256	4.792213e-05	0.000000e+00	1.287460e-05
1	10	512	4.792213e-05	0.000000e+00	1.287460e-05
1	10	1024	4.696846e-05	0.000000e+00	1.382828e-05
1	11	64	4.696846e-05	0.000000e+00	1.382828e-05
1	11	128	4.696846e-05	0.000000e+00	1.287460e-05
1	11	256	4.887581e-05	0.000000e+00	1.382828e-05
1	11	512	5.102158e-05	0.000000e+00	1.287460e-05
1	11	1024	4.696846e-05	0.000000e+00	1.382828e-05
1	12	64	4.696846e-05	0.000000e+00	1.311302e-05
1	12	128	4.816055e-05	0.000000e+00	1.287460e-05
1	12	256	4.696846e-05	0.000000e+00	1.311302e-05
1	12	512	4.696846e-05	0.000000e+00	1.311302e-05
1	12	1024	4.792213e-05	0.000000e+00	1.311302e-05
1	13	64	4.720688e-05	0.000000e+00	1.382828e-05
1	13	128	4.696846e-05	0.000000e+00	1.382828e-05
1	13	256	4.792213e-05	0.000000e+00	1.311302e-05
1	13	512	4.696846e-05	0.000000e+00	1.406670e-05
1	13	1024	4.696846e-05	0.000000e+00	1.382828e-05
1	14	64	4.696846e-05	0.000000e+00	1.287460e-05
1	14	128	4.696846e-05	0.000000e+00	1.406670e-05
1	14	256	4.696846e-05	0.000000e+00	1.382828e-05
1	14	512	4.696846e-05	0.000000e+00	1.287460e-05
1	14	1024	4.792213e-05	0.000000e+00	1.382828e-05
1	15	64	4.696846e-05	0.000000e+00	1.382828e-05
1	15	128	4.792213e-05	0.000000e+00	1.311302e-05
1	15	256	4.696846e-05	0.000000e+00	1.287460e-05
1	15	512	4.696846e-05	0.000000e+00	1.311302e-05
1	15	1024	4.720688e-05	0.000000e+00	1.287460e-05
1	16	64	4.696846e-05	0.000000e+00	1.287460e-05
1	16	128	4.410744e-05	0.000000e+00	1.287460e-05
1	16	256	4.792213e-05	0.000000e+00	1.406670e-05
1	16	512	4.506111e-05	0.000000e+00	1.192093e-05
1	16	1024	4.696846e-05	0.000000e+00	1.406670e-05
1	17	64	4.410744e-05	0.000000e+00	1.287460e-05
1	17	128	4.696846e-05	0.000000e+00	1.311302e-05
1	17	256	4.696846e-05	0.000000e+00	1.192093e-05
1	17	512	4.816055e-05	0.000000e+00	1.287460e-05
1	17	1024	4.696846e-05	0.000000e+00	1.287460e-05
1	18	64	4.792213e-05	0.000000e+00	1.287460e-05
1	18	128	4.291534e-05	0.000000e+00	1.192093e-05
1	18	256	4.696846e-05	0.000000e+00	1.311302e-05
1	18	512	4.696846e-05	0.000000e+00	1.311302e-05
1	18	1024	4.696846e-05	0.000000e+00	1.287460e-05
1	19	64	4.696846e-05	0.000000e+00	1.311302e-05
1	19	128	4.696846e-05	0.000000e+00	1.382828e-05
1	19	256	4.792213e-05	0.000000e+00	1.311302e-05
1	19	512	4.696846e-05	0.000000e+00	1.382828e-05
1	19	1024	4.696846e-05	0.000000e+00	1.287460e-05
1	20	64	4.696846e-05	0.000000e+00	1.311302e-05
1	20	128	4.696846e-05	0.000000e+00	1.311302e-05
1	20	256	4.720688e-05	0.000000e+00	1.287460e-05
1	20	512	4.696846e-05	0.000000e+00	1.311302e-05
1	20	1024	4.696846e-05	0.000000e+00	1.287460e-05
1	21	64	4.696846e-05	0.000000e+00	1.311302e-05
1	21	128	4.696846e-05	0.000000e+00	1.382828e-05
1	21	256	4.816055e-05	0.000000e+00	1.287460e-05
1	21	512	4.601479e-05	0.000000e+00	1.382828e-05
1	21	1024	4.696846e-05	0.000000e+00	1.311302e-05
1	22	64	4.696846e-05	0.000000e+00	1.406670e-05
1	22	128	4.696846e-05	0.000000e+00	1.311302e-05
1	22	256	4.696846e-05	0.000000e+00	1.287460e-05
1	22	512	4.792213e-05	0.000000e+00	1.311302e-05
1	22	1024	4.696846e-05	0.000000e+00	1.382828e-05
1	23	64	4.696846e-05	0.000000e+00	1.287460e-05
1	23	128	4.720688e-05	0.000000e+00	1.287460e-05
1	23	256	4.792213e-05	0.000000e+00	1.311302e-05
1	23	512	4.696846e-05	0.000000e+00	1.287460e-05
1	23	1024	4.696846e-05	0.000000e+00	1.311302e-05
1	24	64	4.720688e-05	0.000000e+00	1.382828e-05
1	24	128	4.696846e-05	0.000000e+00	1.311302e-05
1	24	256	4.792213e-05	0.000000e+00	1.287460e-05
1	24	512	4.720688e-05	0.000000e+00	1.382828e-05
1	24	1024	4.696846e-05	0.000000e+00	1.311302e-05
1	25	64	4.696846e-05	0.000000e+00	1.382828e-05
1	25	128	4.792213e-05	0.000000e+00	1.287460e-05
1	25	256	4.601479e-05	0.000000e+00	1.287460e-05
1	25	512	4.792213e-05	0.000000e+00	1.311302e-05
1	25	1024	4.696846e-05	0.000000e+00	1.192093e-05
1	26	64	4.720688e-05	0.000000e+00	1.287460e-05
1	26	128	4.601479e-05	0.000000e+00	1.287460e-05
1	26	256	4.696846e-05	0.000000e+00	1.311302e-05
1	26	512	4.696846e-05	0.000000e+00	1.192093e-05
1	26	1024	4.696846e-05	0.000000e+00	1.311302e-05
1	27	64	4.601479e-05	0.000000e+00	1.287460e-05
1	27	128	4.696846e-05	0.000000e+00	1.382828e-05
1	27	256	4.506111e-05	0.000000e+00	1.287460e-05
1	27	512	4.696846e-05	0.000000e+00	1.311302e-05
1	27	1024	4.696846e-05	0.000000e+00	1.287460e-05
1	28	64	4.696846e-05	0.000000e+00	1.406670e-05
1	28	128	4.696846e-05	0.000000e+00	1.287460e-05
1	28	256	4.792213e-05	0.000000e+00	1.287460e-05
1	28	512	4.696846e-05	0.000000e+00	1.406670e-05
1	28	1024	4.792213e-05	0.000000e+00	1.287460e-05
1	29	64	4.792213e-05	0.000000e+00	1.406670e-05
1	29	128	4.696846e-05	0.000000e+00	1.287460e-05
1	29	256	4.792213e-05	0.000000e+00	1.406670e-05
1	29	512	4.696846e-05	0.000000e+00	1.382828e-05
1	29	1024	4.792213e-05	0.000000e+00	1.311302e-05
1	30	64	4.696846e-05	0.000000e+00	1.311302e-05
1	30	128	4.696846e-05	0.000000e+00	1.287460e-05
1	30	256	4.696846e-05	0.000000e+00	1.406670e-05
1	30	512	4.696846e-05	0.000000e+00	1.311302e-05
1	30	1024	4.696846e-05	0.000000e+00	1.382828e-05
1	31	64	4.696846e-05	0.000000e+00	1.406670e-05
1	31	128	4.792213e-05	0.000000e+00	1.287460e-05
1	31	256	4.792213e-05	0.000000e+00	1.406670e-05
1	31	512	4.816055e-05	0.000000e+00	1.287460e-05
1	31	1024	4.696846e-05	0.000000e+00	1.382828e-05
1	32	64	4.696846e-05	0.000000e+00	1.287460e-05
1	32	128	4.696846e-05	0.000000e+00	1.287460e-05
1	32	256	4.792213e-05	0.000000e+00	1.382828e-05
1	32	512	4.696846e-05	0.000000e+00	1.287460e-05
1	32	1024	4.816055e-05	0.000000e+00	1.382828e-05
1	33	64	4.696846e-05	0.000000e+00	1.287460e-05
1	33	128	4.696846e-05	0.000000e+00	1.311302e-05
1	33	256	4.696846e-05	0.000000e+00	1.382828e-05
1	33	512	4.792213e-05	0.000000e+00	1.311302e-05
1	33	1024	4.696846e-05	0.000000e+00	1.287460e-05
1	34	64	4.792213e-05	0.000000e+00	1.287460e-05
1	34	128	4.696846e-05	0.000000e+00	1.311302e-05
1	34	256	4.696846e-05	0.000000e+00	1.287460e-05
1	34	512	4.696846e-05	0.000000e+00	1.311302e-05
1	34	1024	4.696846e-05	0.000000e+00	1.406670e-05
1	35	64	4.601479e-05	0.000000e+00	1.215935e-05
1	35	128	4.601479e-05	0.000000e+00	1.311302e-05
1	35	256	4.601479e-05	0.000000e+00	1.287460e-05
1	35	512	4.696846e-05	0.000000e+00	1.311302e-05
1	35	1024	4.696846e-05	0.000000e+00	1.287460e-05
1	36	64	4.410744e-05	0.000000e+00	1.192093e-05
1	36	128	4.696846e-05	0.000000e+00	1.287460e-05
1	36	256	4.696846e-05	0.000000e+00	1.192093e-05
1	36	512	4.601479e-05	0.000000e+00	1.382828e-05
1	36	1024	4.696846e-05	0.000000e+00	1.311302e-05
1	37	64	4.696846e-05	0.000000e+00	1.311302e-05
1	37	128	4.482269e-05	0.000000e+00	1.406670e-05
1	37	256	4.696846e-05	0.000000e+00	1.311302e-05
1	37	512	4.792213e-05	0.000000e+00	1.287460e-05
1	37	1024	4.720688e-05	0.000000e+00	1.382828e-05
1	38	64	4.696846e-05	0.000000e+00	1.311302e-05
1	38	128	4.816055e-05	0.000000e+00	1.287460e-05
1	38	256	4.696846e-05	0.000000e+00	1.382828e-05
1	38	512	4.696846e-05	0.000000e+00	1.311302e-05
1	38	1024	4.696846e-05	0.000000e+00	1.287460e-05
1	39	64	4.696846e-05	0.000000e+00	1.311302e-05
1	39	128	4.696846e-05	0.000000e+00	1.406670e-05
1	39	256	4.696846e-05	0.000000e+00	1.406670e-05
1	39	512	4.696846e-05	0.000000e+00	1.406670e-05
1	39	1024	4.696846e-05	0.000000e+00	1.287460e-05
1	40	64	4.696846e-05	0.000000e+00	1.287460e-05
1	40	128	4.792213e-05	0.000000e+00	1.311302e-05
1	40	256	4.720688e-05	0.000000e+00	1.382828e-05
1	40	512	4.696846e-05	0.000000e+00	1.311302e-05
1	40	1024	4.696846e-05	0.000000e+00	1.287460e-05
1	41	64	4.696846e-05	0.000000e+00	1.311302e-05
1	41	128	4.792213e-05	0.000000e+00	1.406670e-05
1	41	256	4.696846e-05	0.000000e+00	1.382828e-05
1	41	512	4.792213e-05	0.000000e+00	1.311302e-05
1	41	1024	4.792213e-05	0.000000e+00	1.287460e-05
1	42	64	4.696846e-05	0.000000e+00	1.382828e-05
1	42	128	4.720688e-05	0.000000e+00	1.287460e-05
1	42	256	4.696846e-05	0.000000e+00	1.287460e-05
1	42	512	4.696846e-05	0.000000e+00	1.406670e-05
1	42	1024	4.792213e-05	0.000000e+00	1.311302e-05
1	43	64	4.816055e-05	0.000000e+00	1.287460e-05
1	43	128	4.696846e-05	0.000000e+00	1.287460e-05
1	43	256	4.696846e-05	0.000000e+00	1.287460e-05
1	43	512	4.696846e-05	0.000000e+00	1.382828e-05
1	43	1024	4.792213e-05	0.000000e+00	1.311302e-05
1	44	64	4.696846e-05	0.000000e+00	1.406670e-05
1	44	128	4.601479e-05	0.000000e+00	1.311302e-05
1	44	256	4.196167e-05	0.000000e+00	1.287460e-05
1	44	512	4.792213e-05	0.000000e+00	1.192093e-05
1	44	1024	4.696846e-05	0.000000e+00	1.192093e-05
1	45	64	4.482269e-05	0.000000e+00	1.406670e-05
1	45	128	4.696846e-05	0.000000e+00	1.382828e-05
1	45	256	4.410744e-05	0.000000e+00	1.382828e-05
1	45	512	4.792213e-05	0.000000e+00	1.287460e-05
1	45	1024	4.291534e-05	0.000000e+00	1.287460e-05
1	46	64	4.696846e-05	0.000000e+00	1.311302e-05
1	46	128	4.792213e-05	0.000000e+00	1.311302e-05
1	46	256	4.696846e-05	0.000000e+00	1.382828e-05
1	46	512	4.696846e-05	0.000000e+00	1.382828e-05
1	46	1024	4.792213e-05	0.000000e+00	1.287460e-05
1	47	64	4.696846e-05	0.000000e+00	1.287460e-05
1	47	128	4.792213e-05	0.000000e+00	1.382828e-05
1	47	256	4.792213e-05	0.000000e+00	1.287460e-05
1	47	512	4.506111e-05	0.000000e+00	1.287460e-05
1	47	1024	4.696846e-05	0.000000e+00	1.406670e-05
1	48	64	4.792213e-05	0.000000e+00	1.382828e-05
1	48	128	4.792213e-05	0.000000e+00	1.311302e-05
1	48	256	4.696846e-05	0.000000e+00	1.382828e-05
1	48	512	4.792213e-05	0.000000e+00	1.311302e-05
1	48	1024	4.792213e-05	0.000000e+00	1.382828e-05
1	49	64	4.696846e-05	0.000000e+00	1.406670e-05
1	49	128	4.816055e-05	0.000000e+00	1.287460e-05
1	49	256	4.792213e-05	0.000000e+00	1.311302e-05
1	49	512	4.720688e-05	0.000000e+00	1.287460e-05
1	49	1024	4.792213e-05	0.000000e+00	1.311302e-05
2	1	64	4.792213e-05	0.000000e+00	1.311302e-05
2	1	128	4.696846e-05	0.000000e+00	1.382828e-05
2	1	256	4.696846e-05	0.000000e+00	1.311302e-05
2	1	512	4.696846e-05	0.000000e+00	1.311302e-05
2	1	1024	4.696846e-05	0.000000e+00	1.382828e-05
2	2	64	4.696846e-05	0.000000e+00	1.287460e-05
2	2	128	4.696846e-05	0.000000e+00	1.311302e-05
2	2	256	4.696846e-05	0.000000e+00	1.382828e-05
2	2	512	4.696846e-05	0.000000e+00	1.287460e-05
2	2	1024	4.482269e-05	0.000000e+00	1.311302e-05
2	3	64	4.696846e-05	0.000000e+00	1.287460e-05
2	3	128	4.696846e-05	0.000000e+00	1.382828e-05
2	3	256	4.696846e-05	0.000000e+00	1.382828e-05
2	3	512	4.601479e-05	0.000000e+00	1.287460e-05
2	3	1024	4.601479e-05	0.000000e+00	1.311302e-05
