N	OP_P_T	T_B	TIME_DEVICE	TIME_HOST	TIME_onDEV
1024	1	1	4.429817e-04	4.053116e-06	4.448891e-04
1024	1	2	4.429817e-04	4.053116e-06	2.288818e-04
1024	1	4	4.429817e-04	3.814697e-06	1.208782e-04
1024	1	8	4.429817e-04	3.814697e-06	6.699562e-05
1024	1	16	4.420280e-04	3.814697e-06	3.981590e-05
1024	1	32	4.429817e-04	4.053116e-06	2.980232e-05
1024	1	64	4.429817e-04	3.814697e-06	2.098083e-05
1024	1	128	4.429817e-04	3.814697e-06	1.597404e-05
1024	1	256	4.420280e-04	3.814697e-06	1.502037e-05
1024	1	512	4.417896e-04	3.814697e-06	1.311302e-05
1024	1	1024	4.429817e-04	3.814697e-06	1.287460e-05
1024	1	2048	4.429817e-04	4.053116e-06	1.287460e-05
1024	1	4096	4.429817e-04	4.053116e-06	1.287460e-05
1024	1	8192	4.429817e-04	4.053116e-06	1.287460e-05
1024	1	16384	4.429817e-04	3.814697e-06	1.311302e-05
1024	1	32768	4.410744e-04	3.814697e-06	1.311302e-05
8192	1	1	3.473997e-03	3.290176e-05	3.474951e-03
8192	1	2	3.472090e-03	3.290176e-05	1.744986e-03
8192	1	4	3.470898e-03	3.290176e-05	8.828640e-04
8192	1	8	3.471851e-03	3.314018e-05	4.479885e-04
8192	1	16	3.471851e-03	3.290176e-05	2.319813e-04
8192	1	32	3.472090e-03	3.290176e-05	1.490116e-04
8192	1	64	3.473043e-03	3.290176e-05	8.106232e-05
8192	1	128	3.471851e-03	3.290176e-05	4.696846e-05
8192	1	256	3.471851e-03	3.290176e-05	3.099442e-05
8192	1	512	3.471851e-03	3.314018e-05	2.288818e-05
8192	1	1024	3.471851e-03	3.290176e-05	1.907349e-05
8192	1	2048	3.471136e-03	3.385544e-05	1.597404e-05
8192	1	4096	3.471136e-03	3.314018e-05	1.502037e-05
8192	1	8192	3.470898e-03	3.290176e-05	1.502037e-05
8192	1	16384	3.471851e-03	3.409386e-05	1.597404e-05
8192	1	32768	3.472090e-03	3.314018e-05	1.597404e-05
65536	1	1	2.984786e-02	2.689362e-04	2.985716e-02
65536	1	2	2.985096e-02	2.679825e-04	1.639795e-02
65536	1	4	2.985597e-02	2.670288e-04	9.064913e-03
65536	1	8	2.984810e-02	2.670288e-04	4.565954e-03
65536	1	16	2.985406e-02	2.679825e-04	2.315998e-03
65536	1	32	2.984500e-02	2.670288e-04	1.383066e-03
65536	1	64	2.984500e-02	2.670288e-04	6.978512e-04
65536	1	128	2.985907e-02	2.679825e-04	3.559589e-04
65536	1	256	2.985096e-02	2.679825e-04	1.900196e-04
65536	1	512	2.984810e-02	2.670288e-04	1.099110e-04
65536	1	1024	2.984905e-02	2.667904e-04	6.198883e-05
65536	1	2048	2.985120e-02	2.670288e-04	4.100800e-05
65536	1	4096	2.984905e-02	2.667904e-04	2.980232e-05
65536	1	8192	2.984786e-02	2.670288e-04	2.813339e-05
65536	1	16384	2.985477e-02	2.670288e-04	2.884865e-05
65536	1	32768	2.984810e-02	2.670288e-04	2.884865e-05
524288	1	1	2.384701e-01	2.295017e-03	2.384961e-01
524288	1	2	2.384470e-01	2.285957e-03	1.310921e-01
524288	1	4	2.384820e-01	2.279997e-03	7.217884e-02
524288	1	8	2.384770e-01	2.285004e-03	3.628492e-02
524288	1	16	2.384670e-01	2.270937e-03	1.838803e-02
524288	1	32	2.384870e-01	2.296925e-03	1.097584e-02
524288	1	64	2.384882e-01	2.274990e-03	5.490065e-03
524288	1	128	2.384281e-01	2.279997e-03	2.753973e-03
524288	1	256	2.384539e-01	2.274990e-03	1.435041e-03
524288	1	512	2.384472e-01	2.278090e-03	7.710457e-04
524288	1	1024	2.384481e-01	2.265930e-03	4.019737e-04
524288	1	2048	2.384701e-01	2.278805e-03	2.300739e-04
524288	1	4096	2.384589e-01	2.296925e-03	1.580715e-04
524288	1	8192	2.384510e-01	2.280951e-03	1.440048e-04
524288	1	16384	2.384341e-01	2.273798e-03	1.420975e-04
524288	1	32768	2.384450e-01	2.278805e-03	1.449585e-04
4194304	1	1	1.908995e+00	1.865482e-02	1.908772e+00
4194304	1	2	1.909167e+00	1.859903e-02	1.048607e+00
4194304	1	4	1.908864e+00	1.861691e-02	5.777130e-01
4194304	1	8	1.908526e+00	1.863408e-02	2.907121e-01
4194304	1	16	1.908962e+00	1.867700e-02	1.472359e-01
4194304	1	32	1.908757e+00	1.865506e-02	8.756304e-02
4194304	1	64	1.908554e+00	1.863408e-02	4.377103e-02
4194304	1	128	1.908713e+00	1.863098e-02	2.197504e-02
4194304	1	256	1.908620e+00	1.864910e-02	1.137400e-02
4194304	1	512	1.908475e+00	1.865602e-02	5.979061e-03
4194304	1	1024	1.908466e+00	1.865506e-02	3.118992e-03
4194304	1	2048	1.908439e+00	1.870799e-02	1.697063e-03
4194304	1	4096	1.908607e+00	1.899815e-02	1.255035e-03
4194304	1	8192	1.908414e+00	2.075791e-02	1.108170e-03
4194304	1	16384	1.908509e+00	1.874685e-02	1.170158e-03
4194304	1	32768	1.908892e+00	2.009106e-02	1.138926e-03
