N	TimeHtD	TimeDtH
1	5.960464e-06	8.106232e-06
2	5.006790e-06	8.106232e-06
4	4.053116e-06	7.867813e-06
8	4.053116e-06	7.867813e-06
16	4.053116e-06	7.867813e-06
32	3.099442e-06	8.106232e-06
64	3.814697e-06	8.106232e-06
128	4.053116e-06	8.821487e-06
256	4.053116e-06	8.106232e-06
512	4.053116e-06	8.821487e-06
1024	5.006790e-06	1.001358e-05
2048	5.006790e-06	1.096725e-05
4096	8.106232e-06	1.597404e-05
8192	1.311302e-05	2.384186e-05
16384	2.002716e-05	4.100800e-05
32768	3.409386e-05	7.486343e-05
65536	7.605553e-05	1.459122e-04
131072	1.490116e-04	2.779961e-04
262144	3.001690e-04	4.808903e-04
524288	6.408691e-04	8.668900e-04
1048576	1.335144e-03	1.580000e-03
2097152	2.636909e-03	3.016949e-03
4194304	5.222082e-03	5.971909e-03
