N_ROWS	N_COLS	MRTIME_onDEV	MRTIME_HOST	CT_DtH	CT_HtD
1	1	5.960464e-06	0.000000e+00	1.502037e-05	9.536743e-07
2	1	5.006790e-06	0.000000e+00	1.597404e-05	9.536743e-07
4	1	5.006790e-06	0.000000e+00	1.597404e-05	1.192093e-06
8	1	5.006790e-06	0.000000e+00	1.692772e-05	9.536743e-07
16	1	5.960464e-06	0.000000e+00	1.597404e-05	9.536743e-07
32	1	5.006790e-06	0.000000e+00	1.692772e-05	9.536743e-07
64	1	5.006790e-06	0.000000e+00	1.692772e-05	9.536743e-07
128	1	5.960464e-06	0.000000e+00	1.502037e-05	9.536743e-07
256	1	5.006790e-06	9.536743e-07	1.502037e-05	9.536743e-07
512	1	5.006790e-06	9.536743e-07	1.502037e-05	1.907349e-06
1024	1	5.960464e-06	9.536743e-07	1.597404e-05	1.907349e-06
2048	1	4.053116e-06	2.861023e-06	1.788139e-05	2.861023e-06
4096	1	5.960464e-06	6.914139e-06	2.288818e-05	4.053116e-06
8192	1	6.198883e-06	1.406670e-05	3.099442e-05	7.867813e-06
1	2	5.960464e-06	0.000000e+00	1.597404e-05	9.536743e-07
2	2	5.006790e-06	0.000000e+00	1.597404e-05	9.536743e-07
4	2	5.006790e-06	0.000000e+00	1.502037e-05	9.536743e-07
8	2	4.768372e-06	0.000000e+00	1.502037e-05	9.536743e-07
16	2	5.006790e-06	0.000000e+00	1.502037e-05	9.536743e-07
32	2	5.006790e-06	0.000000e+00	1.692772e-05	9.536743e-07
64	2	5.960464e-06	0.000000e+00	1.502037e-05	9.536743e-07
128	2	5.006790e-06	0.000000e+00	1.597404e-05	1.907349e-06
256	2	5.960464e-06	9.536743e-07	1.502037e-05	1.907349e-06
512	2	5.006790e-06	1.907349e-06	1.597404e-05	1.907349e-06
1024	2	4.053116e-06	2.861023e-06	1.788139e-05	2.861023e-06
2048	2	5.960464e-06	6.914139e-06	2.288818e-05	5.006790e-06
4096	2	5.960464e-06	1.287460e-05	3.099442e-05	7.867813e-06
8192	2	6.198883e-06	2.908707e-05	4.816055e-05	9.059906e-06
1	4	5.006790e-06	0.000000e+00	1.692772e-05	9.536743e-07
2	4	4.053116e-06	0.000000e+00	1.692772e-05	9.536743e-07
4	4	5.006790e-06	0.000000e+00	1.597404e-05	9.536743e-07
8	4	5.960464e-06	0.000000e+00	1.478195e-05	1.192093e-06
16	4	5.006790e-06	0.000000e+00	1.502037e-05	9.536743e-07
32	4	5.960464e-06	0.000000e+00	1.502037e-05	9.536743e-07
64	4	5.006790e-06	0.000000e+00	1.597404e-05	1.907349e-06
128	4	5.006790e-06	0.000000e+00	1.502037e-05	1.907349e-06
256	4	5.006790e-06	9.536743e-07	1.692772e-05	1.907349e-06
512	4	6.198883e-06	2.861023e-06	1.788139e-05	2.861023e-06
1024	4	3.814697e-06	5.006790e-06	2.098083e-05	4.053116e-06
2048	4	6.198883e-06	1.096725e-05	3.004074e-05	7.867813e-06
4096	4	5.960464e-06	2.217293e-05	4.792213e-05	8.821487e-06
8192	4	5.960464e-06	4.792213e-05	8.106232e-05	1.597404e-05
1	8	5.006790e-06	0.000000e+00	1.692772e-05	9.536743e-07
2	8	5.006790e-06	0.000000e+00	1.692772e-05	9.536743e-07
4	8	5.960464e-06	0.000000e+00	1.597404e-05	1.192093e-06
8	8	5.960464e-06	0.000000e+00	1.597404e-05	1.192093e-06
16	8	5.960464e-06	0.000000e+00	1.597404e-05	9.536743e-07
32	8	5.006790e-06	0.000000e+00	1.597404e-05	9.536743e-07
64	8	5.960464e-06	9.536743e-07	1.502037e-05	1.907349e-06
128	8	5.006790e-06	9.536743e-07	1.597404e-05	1.907349e-06
256	8	5.006790e-06	1.907349e-06	1.811981e-05	2.861023e-06
512	8	5.960464e-06	5.006790e-06	2.288818e-05	5.006790e-06
1024	8	6.198883e-06	1.096725e-05	3.099442e-05	7.867813e-06
2048	8	5.960464e-06	2.217293e-05	4.792213e-05	9.059906e-06
4096	8	5.960464e-06	4.100800e-05	8.106232e-05	1.502037e-05
8192	8	5.960464e-06	8.797646e-05	1.461506e-04	2.908707e-05
1	16	5.006790e-06	0.000000e+00	1.597404e-05	9.536743e-07
2	16	5.006790e-06	0.000000e+00	1.502037e-05	9.536743e-07
4	16	5.006790e-06	0.000000e+00	1.406670e-05	9.536743e-07
8	16	5.006790e-06	0.000000e+00	1.597404e-05	9.536743e-07
16	16	5.960464e-06	0.000000e+00	1.502037e-05	9.536743e-07
32	16	5.006790e-06	0.000000e+00	1.502037e-05	9.536743e-07
64	16	5.006790e-06	9.536743e-07	1.597404e-05	2.145767e-06
128	16	5.006790e-06	1.907349e-06	1.883507e-05	2.861023e-06
256	16	5.006790e-06	5.006790e-06	2.002716e-05	4.053116e-06
512	16	5.960464e-06	1.096725e-05	3.099442e-05	8.106232e-06
1024	16	5.960464e-06	2.288818e-05	4.911423e-05	8.821487e-06
2048	16	6.198883e-06	4.386902e-05	8.201599e-05	1.597404e-05
4096	16	1.597404e-05	8.893013e-05	1.449585e-04	2.884865e-05
8192	16	5.960464e-06	1.778603e-04	2.801418e-04	6.079674e-05
1	32	5.960464e-06	0.000000e+00	1.597404e-05	9.536743e-07
2	32	5.006790e-06	0.000000e+00	1.716614e-05	9.536743e-07
4	32	5.960464e-06	0.000000e+00	1.502037e-05	9.536743e-07
8	32	5.006790e-06	0.000000e+00	1.478195e-05	1.907349e-06
16	32	5.960464e-06	9.536743e-07	1.502037e-05	1.907349e-06
32	32	5.006790e-06	1.192093e-06	1.597404e-05	1.907349e-06
64	32	5.006790e-06	1.907349e-06	1.907349e-05	1.907349e-06
128	32	5.006790e-06	4.053116e-06	2.193451e-05	3.099442e-06
256	32	6.198883e-06	1.001358e-05	3.099442e-05	5.006790e-06
512	32	1.406670e-05	2.312660e-05	4.887581e-05	1.001358e-05
1024	32	7.152557e-06	4.482269e-05	7.987022e-05	1.597404e-05
2048	32	5.960464e-06	8.606911e-05	1.540184e-04	3.218651e-05
4096	32	5.960464e-06	1.688004e-04	2.729893e-04	5.698204e-05
8192	32	7.152557e-06	3.318787e-04	4.758835e-04	1.528263e-04
1	64	5.960464e-06	0.000000e+00	1.597404e-05	9.536743e-07
2	64	5.960464e-06	0.000000e+00	1.597404e-05	9.536743e-07
4	64	5.006790e-06	0.000000e+00	1.502037e-05	9.536743e-07
8	64	5.960464e-06	0.000000e+00	1.502037e-05	9.536743e-07
16	64	3.099442e-06	9.536743e-07	1.597404e-05	1.907349e-06
32	64	5.960464e-06	3.099442e-06	1.811981e-05	1.907349e-06
64	64	5.960464e-06	5.006790e-06	2.312660e-05	2.861023e-06
128	64	5.006790e-06	1.096725e-05	3.194809e-05	5.006790e-06
256	64	5.960464e-06	2.598763e-05	4.911423e-05	9.059906e-06
512	64	5.960464e-06	4.410744e-05	8.296967e-05	1.597404e-05
1024	64	5.960464e-06	8.893013e-05	1.461506e-04	2.884865e-05
2048	64	5.960464e-06	1.709461e-04	2.739429e-04	5.698204e-05
4096	64	5.960464e-06	3.628731e-04	4.580021e-04	1.440048e-04
8192	64	1.406670e-05	7.150173e-04	8.721352e-04	4.889965e-04
1	128	5.960464e-06	0.000000e+00	1.597404e-05	9.536743e-07
2	128	5.006790e-06	0.000000e+00	1.597404e-05	9.536743e-07
4	128	5.960464e-06	9.536743e-07	1.502037e-05	9.536743e-07
8	128	5.006790e-06	9.536743e-07	1.597404e-05	1.907349e-06
16	128	5.960464e-06	1.907349e-06	1.788139e-05	2.861023e-06
32	128	4.768372e-06	5.006790e-06	2.288818e-05	2.861023e-06
64	128	5.006790e-06	1.096725e-05	3.194809e-05	5.960464e-06
128	128	5.960464e-06	2.384186e-05	4.792213e-05	8.821487e-06
256	128	5.960464e-06	4.482269e-05	8.201599e-05	1.597404e-05
512	128	5.960464e-06	8.678436e-05	1.459122e-04	3.099442e-05
1024	128	5.960464e-06	1.800060e-04	3.030300e-04	5.793571e-05
2048	128	6.914139e-06	3.690720e-04	4.808903e-04	1.480579e-04
4096	128	7.152557e-06	7.638931e-04	8.749962e-04	4.889965e-04
8192	128	6.914139e-06	1.590014e-03	1.678944e-03	1.202106e-03
1	256	5.006790e-06	0.000000e+00	1.502037e-05	1.907349e-06
2	256	5.960464e-06	9.536743e-07	1.502037e-05	1.907349e-06
4	256	5.006790e-06	1.192093e-06	1.382828e-05	1.907349e-06
8	256	5.006790e-06	2.145767e-06	1.883507e-05	1.907349e-06
16	256	5.006790e-06	5.006790e-06	2.288818e-05	2.861023e-06
32	256	5.006790e-06	1.001358e-05	3.099442e-05	5.006790e-06
64	256	7.152557e-06	2.503395e-05	4.911423e-05	8.821487e-06
128	256	5.960464e-06	4.601479e-05	8.201599e-05	1.692772e-05
256	256	6.914139e-06	8.893013e-05	1.471043e-04	3.099442e-05
512	256	5.960464e-06	1.749992e-04	2.770424e-04	6.198883e-05
1024	256	7.152557e-06	3.628731e-04	4.580021e-04	1.521111e-04
2048	256	7.152557e-06	8.001328e-04	8.959770e-04	4.880428e-04
4096	256	7.152557e-06	2.034903e-03	1.702070e-03	1.202106e-03
8192	256	7.867813e-06	3.324986e-03	3.279924e-03	2.572060e-03
1	512	5.006790e-06	0.000000e+00	1.597404e-05	9.536743e-07
2	512	5.960464e-06	1.907349e-06	1.692772e-05	1.907349e-06
4	512	5.006790e-06	2.861023e-06	1.788139e-05	1.907349e-06
8	512	5.960464e-06	5.006790e-06	2.384186e-05	3.814697e-06
16	512	5.960464e-06	1.096725e-05	3.099442e-05	5.006790e-06
32	512	7.152557e-06	2.288818e-05	4.911423e-05	1.001358e-05
64	512	7.152557e-06	4.601479e-05	8.201599e-05	1.597404e-05
128	512	6.914139e-06	8.606911e-05	1.468658e-04	3.099442e-05
256	512	1.287460e-05	1.912117e-04	2.849102e-04	6.079674e-05
512	512	1.382828e-05	3.659725e-04	4.718304e-04	1.590252e-04
1024	512	7.152557e-06	7.469654e-04	8.759499e-04	5.009174e-04
2048	512	6.914139e-06	2.568007e-03	1.662016e-03	1.214027e-03
4096	512	7.152557e-06	3.357887e-03	3.217936e-03	2.567053e-03
8192	512	7.152557e-06	6.693125e-03	6.356001e-03	5.120039e-03
1	1024	5.960464e-06	9.536743e-07	1.788139e-05	1.907349e-06
2	1024	6.914139e-06	1.907349e-06	1.907349e-05	1.907349e-06
4	1024	5.960464e-06	4.768372e-06	2.408028e-05	2.861023e-06
8	1024	1.215935e-05	1.001358e-05	3.290176e-05	5.006790e-06
16	1024	7.152557e-06	2.288818e-05	5.102158e-05	8.821487e-06
32	1024	6.914139e-06	4.577637e-05	8.296967e-05	1.597404e-05
64	1024	8.106232e-06	8.893013e-05	1.478195e-04	3.218651e-05
128	1024	6.914139e-06	1.721382e-04	2.830029e-04	6.103516e-05
256	1024	6.914139e-06	3.809929e-04	4.878044e-04	1.490116e-04
512	1024	8.106232e-06	7.700920e-04	8.728504e-04	4.799366e-04
1024	1024	8.106232e-06	2.609968e-03	1.693010e-03	1.164913e-03
2048	1024	1.692772e-05	3.115892e-03	3.062963e-03	2.472162e-03
4096	1024	8.106232e-06	6.140947e-03	6.105900e-03	4.976988e-03
8192	1024	8.106232e-06	1.240683e-02	1.208687e-02	1.006222e-02
1	2048	5.960464e-06	2.861023e-06	2.002716e-05	2.861023e-06
2	2048	7.867813e-06	5.006790e-06	2.384186e-05	3.099442e-06
4	2048	8.106232e-06	1.096725e-05	3.290176e-05	5.006790e-06
8	2048	8.106232e-06	2.408028e-05	5.102158e-05	8.821487e-06
16	2048	8.106232e-06	4.601479e-05	8.487701e-05	1.502037e-05
32	2048	8.106232e-06	9.012222e-05	1.499653e-04	2.884865e-05
64	2048	9.059906e-06	1.769066e-04	2.770424e-04	5.507469e-05
128	2048	8.106232e-06	3.569126e-04	4.599094e-04	1.339912e-04
256	2048	1.692772e-05	7.269382e-04	8.428097e-04	4.730225e-04
512	2048	9.059906e-06	2.001047e-03	1.605988e-03	1.142025e-03
1024	2048	8.106232e-06	3.464937e-03	3.103971e-03	2.443075e-03
2048	2048	9.059906e-06	6.176949e-03	6.097078e-03	4.976034e-03
4096	2048	5.197525e-05	1.342893e-02	1.250815e-02	1.039696e-02
8192	2048	5.292892e-05	2.740288e-02	2.456784e-02	2.066708e-02
1	4096	9.059906e-06	5.960464e-06	3.099442e-05	3.099442e-06
2	4096	1.001358e-05	1.192093e-05	4.005432e-05	4.768372e-06
4	4096	1.096725e-05	2.384186e-05	5.602837e-05	9.059906e-06
8	4096	1.001358e-05	4.601479e-05	9.012222e-05	1.597404e-05
16	4096	1.096725e-05	9.322166e-05	1.540184e-04	3.099442e-05
32	4096	1.096725e-05	1.850128e-04	2.880096e-04	6.198883e-05
64	4096	1.096725e-05	3.809929e-04	4.880428e-04	1.599789e-04
128	4096	1.001358e-05	7.889271e-04	8.821487e-04	5.009174e-04
256	4096	1.716614e-05	2.676010e-03	1.732826e-03	1.222849e-03
512	4096	1.096725e-05	3.771067e-03	3.224134e-03	2.557993e-03
1024	4096	1.120567e-05	6.942987e-03	6.405830e-03	5.206108e-03
2048	4096	1.001358e-05	1.392198e-02	1.259398e-02	1.058888e-02
4096	4096	5.507469e-05	2.525806e-02	2.406001e-02	2.018690e-02
8192	4096	5.507469e-05	5.255413e-02	4.926205e-02	4.126596e-02
1	8192	1.382828e-05	1.192093e-05	4.696846e-05	5.006790e-06
2	8192	2.098083e-05	2.479553e-05	6.413460e-05	9.059906e-06
4	8192	1.502037e-05	4.720688e-05	9.799004e-05	1.597404e-05
8	8192	1.502037e-05	9.202957e-05	1.609325e-04	2.884865e-05
16	8192	1.502037e-05	1.828671e-04	2.949238e-04	6.318092e-05
32	8192	1.502037e-05	3.740788e-04	4.780293e-04	1.459122e-04
64	8192	1.502037e-05	7.560253e-04	8.449554e-04	4.818439e-04
128	8192	1.502037e-05	2.496958e-03	1.646996e-03	1.165867e-03
256	8192	1.478195e-05	3.926992e-03	3.234863e-03	2.594948e-03
512	8192	1.382828e-05	7.036924e-03	6.238937e-03	5.180120e-03
1024	8192	1.597404e-05	1.374793e-02	1.256704e-02	1.031113e-02
2048	8192	5.888939e-05	2.564692e-02	2.413106e-02	2.026391e-02
4096	8192	5.817413e-05	5.437517e-02	4.956388e-02	4.141402e-02
8192	8192	5.793571e-05	1.029480e-01	9.629583e-02	8.139896e-02
