N_ROWS	N_COLS	MRTIME_onDEV_T1	MRTIME_HOST	CT_DtH	MRTIME_onDEV_Tp
128	128	1	6.805897e-03	7.915497e-05	6.807089e-03
128	128	2	6.805897e-03	7.915497e-05	6.803989e-03
128	128	4	6.805897e-03	7.915497e-05	1.976013e-03
128	128	8	6.805897e-03	7.915497e-05	1.974106e-03
128	128	16	6.805897e-03	7.915497e-05	6.439686e-04
128	128	32	6.805897e-03	7.915497e-05	5.340576e-04
128	128	64	6.805897e-03	7.915497e-05	1.718998e-04
128	128	128	6.805897e-03	7.915497e-05	1.189709e-04
128	128	256	6.805897e-03	7.915497e-05	4.291534e-05
128	128	512	6.805897e-03	7.915497e-05	3.790855e-05
128	128	1024	6.805897e-03	7.915497e-05	2.193451e-05
128	128	8192	6.805897e-03	7.915497e-05	1.406670e-05
128	128	16384	6.805897e-03	7.915497e-05	1.406670e-05
128	128	73728	6.805897e-03	7.915497e-05	1.406670e-05
512	128	1	2.852702e-02	3.390312e-04	2.917695e-02
512	128	2	2.852702e-02	3.390312e-04	2.917600e-02
512	128	4	2.852702e-02	3.390312e-04	8.888006e-03
512	128	8	2.852702e-02	3.390312e-04	8.887053e-03
512	128	16	2.852702e-02	3.390312e-04	3.072023e-03
512	128	32	2.852702e-02	3.390312e-04	2.402067e-03
512	128	64	2.852702e-02	3.390312e-04	7.779598e-04
512	128	128	2.852702e-02	3.390312e-04	5.018711e-04
512	128	256	2.852702e-02	3.390312e-04	1.728535e-04
512	128	512	2.852702e-02	3.390312e-04	1.320839e-04
512	128	1024	2.852702e-02	3.390312e-04	6.484985e-05
512	128	8192	2.852702e-02	3.390312e-04	2.598763e-05
512	128	16384	2.852702e-02	3.390312e-04	2.598763e-05
512	128	73728	2.852702e-02	3.390312e-04	2.598763e-05
2048	128	1	1.177051e-01	1.320124e-03	1.177680e-01
2048	128	2	1.177051e-01	1.320124e-03	1.177649e-01
2048	128	4	1.177051e-01	1.320124e-03	3.583312e-02
2048	128	8	1.177051e-01	1.320124e-03	3.582311e-02
2048	128	16	1.177051e-01	1.320124e-03	1.222420e-02
2048	128	32	1.177051e-01	1.320124e-03	9.603977e-03
2048	128	64	1.177051e-01	1.320124e-03	3.072023e-03
2048	128	128	1.177051e-01	1.320124e-03	1.960993e-03
2048	128	256	1.177051e-01	1.320124e-03	6.539822e-04
2048	128	512	1.177051e-01	1.320124e-03	4.870892e-04
2048	128	1024	1.177051e-01	1.320124e-03	2.200603e-04
2048	128	8192	1.177051e-01	1.320124e-03	6.890297e-05
