N	T_B	MM1	MM2	DSM	DSM_COA	cuBlas	SM	SM_tr	CPU	SM_trInd
1	64	0.000050	0.000073	0.000053	0.000073	0.000089	0.000055	0.000056	0.000000	0.000055
1	256	0.000049	0.000068	0.000051	0.000069	0.000087	0.000054	0.000054	0.000000	0.000053
1	1024	0.000049	0.000067	0.000051	0.000069	0.000086	0.000053	0.000054	0.000000	0.000052
2	64	0.000051	0.000070	0.000051	0.000072	0.000090	0.000055	0.000055	0.000000	0.000056
2	256	0.000051	0.000068	0.000051	0.000071	0.000088	0.000053	0.000055	0.000000	0.000054
2	1024	0.000050	0.000068	0.000051	0.000071	0.000086	0.000053	0.000054	0.000000	0.000053
4	64	0.000050	0.000070	0.000051	0.000072	0.000088	0.000053	0.000054	0.000000	0.000055
4	256	0.000050	0.000068	0.000049	0.000071	0.000086	0.000053	0.000054	0.000000	0.000054
4	1024	0.000049	0.000068	0.000049	0.000071	0.000086	0.000052	0.000054	0.000000	0.000053
8	64	0.000044	0.000063	0.000044	0.000061	0.000079	0.000048	0.000049	0.000001	0.000048
8	256	0.000044	0.000063	0.000043	0.000061	0.000077	0.000048	0.000049	0.000001	0.000048
8	1024	0.000043	0.000060	0.000043	0.000061	0.000077	0.000046	0.000047	0.000001	0.000048
16	64	0.000042	0.000060	0.000044	0.000066	0.000081	0.000047	0.000047	0.000010	0.000047
16	256	0.000042	0.000060	0.000042	0.000064	0.000079	0.000044	0.000047	0.000010	0.000047
16	1024	0.000042	0.000060	0.000042	0.000064	0.000079	0.000044	0.000047	0.000010	0.000047
32	64	0.000050	0.000068	0.000049	0.000071	0.000088	0.000049	0.000051	0.000080	0.000051
32	256	0.000048	0.000068	0.000047	0.000069	0.000086	0.000049	0.000050	0.000080	0.000050
32	1024	0.000048	0.000068	0.000047	0.000069	0.000085	0.000049	0.000050	0.000080	0.000050
64	64	0.000093	0.000089	0.000081	0.000098	0.000112	0.000070	0.000071	0.000674	0.000071
64	256	0.000079	0.000088	0.000073	0.000093	0.000111	0.000066	0.000068	0.000674	0.000071
64	1024	0.000079	0.000088	0.000073	0.000093	0.000111	0.000066	0.000068	0.000674	0.000071
128	64	0.000381	0.000283	0.000303	0.000326	0.000282	0.000237	0.000237	0.005464	0.000254
128	256	0.000297	0.000278	0.000269	0.000317	0.000282	0.000236	0.000237	0.005438	0.000253
128	1024	0.000297	0.000278	0.000260	0.000317	0.000282	0.000233	0.000235	0.005431	0.000245
256	64	0.002244	0.001471	0.001622	0.001710	0.001230	0.001176	0.001171	0.062862	0.001308
256	256	0.001568	0.001393	0.001405	0.001641	0.001230	0.001176	0.001165	0.062862	0.001308
256	1024	0.001568	0.001393	0.001380	0.001641	0.001230	0.001169	0.001165	0.062819	0.001308
512	64	0.016231	0.009987	0.011301	0.011913	0.007912	0.007853	0.007788	0.507156	0.009078
512	256	0.011156	0.009764	0.009736	0.011494	0.007912	0.007853	0.007788	0.507156	0.009078
512	1024	0.011156	0.009764	0.009434	0.011494	0.007912	0.007853	0.007788	0.506696	0.009022
1024	64	0.121696	0.073531	0.080742	0.085143	0.054212	0.052568	0.052451	179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.000000	0.062427
1024	256	0.080867	0.067656	0.068214	0.081450	0.054212	0.052568	0.052451	179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.000000	0.062427
1024	1024	0.080867	0.067656	0.065810	0.081450	0.054185	0.052568	0.052451	179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.000000	0.062427
2048	64	0.961390	0.567190	0.628663	0.657256	0.409184	0.413982	0.397873	179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.000000	0.476904
2048	256	0.654973	0.485061	0.525666	0.636392	0.408868	0.413931	0.395867	179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.000000	0.476904
2048	1024	0.654973	0.485061	0.513545	0.636392	0.408868	0.413931	0.395867	179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.000000	0.476894
