N	T_B	MM1	MM2	DSM	DSM_COA	cuBlas	SM	SM_tr	CPU	SM_trInd
1	64	0.000014	0.000031	0.000013	0.000035	0.000029	0.000016	0.000020	0.000000	0.000019
1	256	0.000013	0.000030	0.000013	0.000035	0.000028	0.000016	0.000020	0.000000	0.000018
1	1024	0.000013	0.000030	0.000013	0.000035	0.000028	0.000016	0.000020	0.000000	0.000018
2	64	0.000014	0.000031	0.000013	0.000033	0.000028	0.000016	0.000020	0.000000	0.000018
2	256	0.000014	0.000031	0.000013	0.000033	0.000028	0.000016	0.000020	0.000000	0.000018
2	1024	0.000014	0.000031	0.000013	0.000033	0.000028	0.000016	0.000020	0.000000	0.000017
4	64	0.000014	0.000032	0.000013	0.000035	0.000029	0.000017	0.000020	0.000000	0.000019
4	256	0.000014	0.000031	0.000013	0.000035	0.000029	0.000017	0.000020	0.000000	0.000017
4	1024	0.000014	0.000030	0.000013	0.000035	0.000029	0.000016	0.000020	0.000000	0.000017
8	64	0.000015	0.000030	0.000012	0.000032	0.000029	0.000016	0.000020	0.000001	0.000019
8	256	0.000015	0.000029	0.000012	0.000032	0.000029	0.000016	0.000020	0.000001	0.000018
8	1024	0.000014	0.000029	0.000012	0.000032	0.000029	0.000016	0.000020	0.000001	0.000018
16	64	0.000016	0.000030	0.000013	0.000030	0.000030	0.000017	0.000020	0.000010	0.000020
16	256	0.000016	0.000030	0.000013	0.000030	0.000029	0.000017	0.000020	0.000010	0.000020
16	1024	0.000016	0.000030	0.000013	0.000030	0.000029	0.000017	0.000020	0.000010	0.000019
32	64	0.000018	0.000031	0.000017	0.000038	0.000032	0.000017	0.000020	0.000080	0.000020
32	256	0.000017	0.000031	0.000015	0.000035	0.000031	0.000017	0.000020	0.000080	0.000020
32	1024	0.000017	0.000031	0.000015	0.000035	0.000031	0.000017	0.000020	0.000080	0.000020
64	64	0.000046	0.000049	0.000034	0.000053	0.000043	0.000025	0.000027	0.000673	0.000027
64	256	0.000033	0.000049	0.000030	0.000053	0.000043	0.000024	0.000027	0.000673	0.000027
64	1024	0.000033	0.000049	0.000028	0.000053	0.000043	0.000024	0.000027	0.000672	0.000027
128	64	0.000278	0.000163	0.000171	0.000201	0.000153	0.000110	0.000114	0.005442	0.000125
128	256	0.000195	0.000159	0.000147	0.000199	0.000145	0.000110	0.000111	0.005442	0.000125
128	1024	0.000195	0.000159	0.000139	0.000199	0.000145	0.000110	0.000111	0.005428	0.000125
256	64	0.001931	0.001075	0.001230	0.001328	0.000911	0.000796	0.000791	0.062932	0.000915
256	256	0.001258	0.001032	0.001026	0.001263	0.000910	0.000796	0.000787	0.062774	0.000913
256	1024	0.001258	0.001032	0.001003	0.001263	0.000906	0.000795	0.000787	0.062737	0.000913
512	64	0.014728	0.008479	0.009600	0.010342	0.006239	0.006225	0.006157	0.506153	0.007265
512	256	0.009566	0.008088	0.007991	0.009838	0.006239	0.006218	0.006157	0.506054	0.007265
512	1024	0.009566	0.008088	0.007822	0.009838	0.006239	0.006218	0.006157	0.505455	0.007260
1024	64	0.116847	0.068618	0.076306	0.080679	0.049382	0.049675	0.049356	179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.000000	0.057616
1024	256	0.076098	0.062858	0.063427	0.076668	0.049382	0.049675	0.049356	179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.000000	0.057616
1024	1024	0.076098	0.062858	0.060845	0.076668	0.049379	0.049675	0.047659	179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.000000	0.057615
2048	64	0.945934	0.556200	0.615339	0.643024	0.392332	0.397669	0.381905	179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.000000	0.459796
2048	256	0.633889	0.470873	0.514961	0.624529	0.392014	0.396948	0.381905	179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.000000	0.459795
2048	1024	0.633889	0.470873	0.496091	0.624529	0.392014	0.396948	0.379313	179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.000000	0.459795
