N	T_B	MM1	MM2	DSM	DSM_COA	cuBlas	SM	SM_tr	CPU	SM_trInd
1	1024	0.000013	0.000032	0.000020	0.000043	0.000030	0.000017	0.000021	0.000000	0.000019
2	1024	0.000013	0.000032	0.000020	0.000042	0.000040	0.000017	0.000021	0.000000	0.000019
4	1024	0.000014	0.000032	0.000019	0.000042	0.000030	0.000018	0.000021	0.000000	0.000019
8	1024	0.000014	0.000032	0.000021	0.000039	0.000031	0.000018	0.000020	0.000001	0.000020
16	1024	0.000015	0.000033	0.000020	0.000041	0.000030	0.000018	0.000021	0.000011	0.000020
32	1024	0.000025	0.000044	0.000020	0.000047	0.000034	0.000017	0.000021	0.000085	0.000021
64	1024	0.000037	0.000058	0.000029	0.000058	0.000045	0.000025	0.000027	0.000730	0.000028
128	1024	0.000227	0.000225	0.000139	0.000206	0.000155	0.000113	0.000114	0.006118	0.000130
256	1024	0.001565	0.001540	0.001007	0.001376	0.000919	0.000805	0.000796	0.072460	0.000921
512	1024	0.011934	0.012103	0.007828	0.010539	0.006375	0.006228	0.006184	0.588182	0.007268
1024	1024	0.093710	0.094315	0.061969	0.080086	0.049396	0.049719	0.049150	179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.000000	0.057620
2048	1024	0.746006	0.747884	0.497672	0.634356	0.392321	0.396918	0.380575	179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.000000	0.459813
4096	1024	5.966135	5.974165	3.975501	5.055196	3.128171	3.198065	3.217993	179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.000000	3.674862
