N	T_B	MM1	MM2	DSM	DSM_COA	cuBlas	SM	SM_tr	CPU	SM_trInd
1	1024	0.000051	0.000069	0.000060	0.000079	0.000089	0.000054	0.000055	0.000000	0.000052
2	1024	0.000050	0.000068	0.000056	0.000079	0.000088	0.000052	0.000057	0.000000	0.000054
4	1024	0.000051	0.000068	0.000057	0.000079	0.000087	0.000054	0.000055	0.000000	0.000054
8	1024	0.000045	0.000063	0.000050	0.000072	0.000079	0.000048	0.000049	0.000001	0.000048
16	1024	0.000044	0.000064	0.000050	0.000072	0.000081	0.000046	0.000048	0.000010	0.000047
32	1024	0.000057	0.000078	0.000053	0.000079	0.000088	0.000050	0.000051	0.000080	0.000050
64	1024	0.000082	0.000096	0.000074	0.000095	0.000112	0.000070	0.000070	0.000675	0.000072
128	1024	0.000327	0.000346	0.000264	0.000323	0.000294	0.000236	0.000237	0.005491	0.000250
256	1024	0.001866	0.001927	0.001385	0.001736	0.001311	0.001181	0.001173	0.064107	0.001303
512	1024	0.013389	0.013507	0.009451	0.012073	0.007870	0.007869	0.007798	0.516072	0.009034
1024	1024	0.098782	0.098728	0.066767	0.084751	0.054204	0.054540	0.054426	179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.000000	0.062449
2048	1024	0.763315	0.764899	0.513478	0.649951	0.409171	0.415131	0.396973	179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.000000	0.476986
4096	1024	6.032880	6.039376	4.047946	5.118452	3.195400	3.259030	3.283753	179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.000000	3.740477
