N	TIME_onDEV	TIME_HOST
1	1.311302e-05	0.000000e+00
2	1.192093e-05	0.000000e+00
4	9.775162e-06	0.000000e+00
8	1.192093e-05	0.000000e+00
16	1.215935e-05	0.000000e+00
32	1.192093e-05	0.000000e+00
64	1.192093e-05	0.000000e+00
128	1.215935e-05	0.000000e+00
256	1.192093e-05	0.000000e+00
512	1.287460e-05	0.000000e+00
1024	1.311302e-05	1.907349e-06
2048	1.406670e-05	2.861023e-06
4096	1.692772e-05	5.960464e-06
8192	1.788139e-05	1.502037e-05
16384	1.788139e-05	1.811981e-05
32768	2.193451e-05	3.600121e-05
65536	2.598763e-05	7.510185e-05
131072	3.695488e-05	1.649857e-04
262144	5.912781e-05	3.120899e-04
524288	1.029968e-04	7.510185e-04
1048576	1.888275e-04	1.577139e-03
2097152	3.850460e-04	3.324986e-03
4194304	7.240772e-04	6.308079e-03
