N	TIME_onDEV_T1	TIME_HOST	TIME_onDEV_Tp
1	1	1.311302e-05	0.000000e+00	1.120567e-05
1	2	1.311302e-05	0.000000e+00	1.096725e-05
1	4	1.311302e-05	0.000000e+00	1.096725e-05
1	8	1.311302e-05	0.000000e+00	1.096725e-05
1	16	1.311302e-05	0.000000e+00	1.096725e-05
1	32	1.311302e-05	0.000000e+00	1.096725e-05
1	64	1.311302e-05	0.000000e+00	1.096725e-05
1	128	1.311302e-05	0.000000e+00	1.096725e-05
1	256	1.311302e-05	0.000000e+00	1.096725e-05
1	512	1.311302e-05	0.000000e+00	1.096725e-05
1	1024	1.311302e-05	0.000000e+00	1.096725e-05
1	2048	1.311302e-05	0.000000e+00	1.096725e-05
1	4096	1.311302e-05	0.000000e+00	1.096725e-05
1	8192	1.311302e-05	0.000000e+00	1.096725e-05
1	16384	1.311302e-05	0.000000e+00	1.096725e-05
1	32768	1.311302e-05	0.000000e+00	1.096725e-05
2	1	1.192093e-05	0.000000e+00	1.096725e-05
2	2	1.192093e-05	0.000000e+00	1.096725e-05
2	4	1.192093e-05	0.000000e+00	1.096725e-05
2	8	1.192093e-05	0.000000e+00	1.096725e-05
2	16	1.192093e-05	0.000000e+00	1.096725e-05
2	32	1.192093e-05	0.000000e+00	1.096725e-05
2	64	1.192093e-05	0.000000e+00	1.096725e-05
2	128	1.192093e-05	0.000000e+00	1.096725e-05
2	256	1.192093e-05	0.000000e+00	1.096725e-05
2	512	1.192093e-05	0.000000e+00	1.096725e-05
2	1024	1.192093e-05	0.000000e+00	1.096725e-05
2	2048	1.192093e-05	0.000000e+00	1.096725e-05
2	4096	1.192093e-05	0.000000e+00	1.001358e-05
2	8192	1.192093e-05	0.000000e+00	1.001358e-05
2	16384	1.192093e-05	0.000000e+00	1.001358e-05
2	32768	1.192093e-05	0.000000e+00	1.001358e-05
4	1	1.215935e-05	0.000000e+00	1.287460e-05
4	2	1.215935e-05	0.000000e+00	1.120567e-05
4	4	1.215935e-05	0.000000e+00	1.096725e-05
4	8	1.215935e-05	0.000000e+00	1.096725e-05
4	16	1.215935e-05	0.000000e+00	1.096725e-05
4	32	1.215935e-05	0.000000e+00	1.096725e-05
4	64	1.215935e-05	0.000000e+00	1.001358e-05
4	128	1.215935e-05	0.000000e+00	1.001358e-05
4	256	1.215935e-05	0.000000e+00	1.001358e-05
4	512	1.215935e-05	0.000000e+00	1.001358e-05
4	1024	1.215935e-05	0.000000e+00	1.001358e-05
4	2048	1.215935e-05	0.000000e+00	1.001358e-05
4	4096	1.215935e-05	0.000000e+00	1.001358e-05
4	8192	1.215935e-05	0.000000e+00	1.001358e-05
4	16384	1.215935e-05	0.000000e+00	1.001358e-05
4	32768	1.215935e-05	0.000000e+00	1.001358e-05
8	1	1.406670e-05	0.000000e+00	1.382828e-05
8	2	1.406670e-05	0.000000e+00	1.192093e-05
8	4	1.406670e-05	0.000000e+00	1.096725e-05
8	8	1.406670e-05	0.000000e+00	1.096725e-05
8	16	1.406670e-05	0.000000e+00	1.096725e-05
8	32	1.406670e-05	0.000000e+00	1.096725e-05
8	64	1.406670e-05	0.000000e+00	1.096725e-05
8	128	1.406670e-05	0.000000e+00	1.096725e-05
8	256	1.406670e-05	0.000000e+00	1.096725e-05
8	512	1.406670e-05	0.000000e+00	1.096725e-05
8	1024	1.406670e-05	0.000000e+00	1.096725e-05
8	2048	1.406670e-05	0.000000e+00	1.096725e-05
8	4096	1.406670e-05	0.000000e+00	1.096725e-05
8	8192	1.406670e-05	0.000000e+00	1.096725e-05
8	16384	1.406670e-05	0.000000e+00	1.096725e-05
8	32768	1.406670e-05	0.000000e+00	1.096725e-05
16	1	1.788139e-05	0.000000e+00	1.716614e-05
16	2	1.788139e-05	0.000000e+00	1.406670e-05
16	4	1.788139e-05	0.000000e+00	1.192093e-05
16	8	1.788139e-05	0.000000e+00	1.096725e-05
16	16	1.788139e-05	0.000000e+00	1.096725e-05
16	32	1.788139e-05	0.000000e+00	1.096725e-05
16	64	1.788139e-05	0.000000e+00	1.096725e-05
16	128	1.788139e-05	0.000000e+00	1.096725e-05
16	256	1.788139e-05	0.000000e+00	1.001358e-05
16	512	1.788139e-05	0.000000e+00	1.001358e-05
16	1024	1.788139e-05	0.000000e+00	1.001358e-05
16	2048	1.788139e-05	0.000000e+00	1.001358e-05
16	4096	1.788139e-05	0.000000e+00	1.001358e-05
16	8192	1.788139e-05	0.000000e+00	1.001358e-05
16	16384	1.788139e-05	0.000000e+00	1.001358e-05
16	32768	1.788139e-05	0.000000e+00	1.001358e-05
32	1	2.408028e-05	0.000000e+00	2.288818e-05
32	2	2.408028e-05	0.000000e+00	1.716614e-05
32	4	2.408028e-05	0.000000e+00	1.406670e-05
32	8	2.408028e-05	0.000000e+00	1.192093e-05
32	16	2.408028e-05	0.000000e+00	1.096725e-05
32	32	2.408028e-05	0.000000e+00	1.096725e-05
32	64	2.408028e-05	0.000000e+00	1.096725e-05
32	128	2.408028e-05	0.000000e+00	1.096725e-05
32	256	2.408028e-05	0.000000e+00	1.096725e-05
32	512	2.408028e-05	0.000000e+00	1.096725e-05
32	1024	2.408028e-05	0.000000e+00	1.096725e-05
32	2048	2.408028e-05	0.000000e+00	1.096725e-05
32	4096	2.408028e-05	0.000000e+00	1.096725e-05
32	8192	2.408028e-05	0.000000e+00	1.096725e-05
32	16384	2.408028e-05	0.000000e+00	1.096725e-05
32	32768	2.408028e-05	0.000000e+00	1.096725e-05
64	1	3.790855e-05	0.000000e+00	3.695488e-05
64	2	3.790855e-05	0.000000e+00	2.408028e-05
64	4	3.790855e-05	0.000000e+00	1.692772e-05
64	8	3.790855e-05	0.000000e+00	1.311302e-05
64	16	3.790855e-05	0.000000e+00	1.192093e-05
64	32	3.790855e-05	0.000000e+00	1.192093e-05
64	64	3.790855e-05	0.000000e+00	1.096725e-05
64	128	3.790855e-05	0.000000e+00	1.096725e-05
64	256	3.790855e-05	0.000000e+00	1.096725e-05
64	512	3.790855e-05	0.000000e+00	1.096725e-05
64	1024	3.790855e-05	0.000000e+00	1.096725e-05
64	2048	3.790855e-05	0.000000e+00	1.096725e-05
64	4096	3.790855e-05	0.000000e+00	1.001358e-05
64	8192	3.790855e-05	0.000000e+00	1.001358e-05
64	16384	3.790855e-05	0.000000e+00	1.001358e-05
64	32768	3.790855e-05	0.000000e+00	1.001358e-05
128	1	6.389618e-05	0.000000e+00	6.389618e-05
128	2	6.389618e-05	0.000000e+00	3.600121e-05
128	4	6.389618e-05	0.000000e+00	2.384186e-05
128	8	6.389618e-05	0.000000e+00	1.716614e-05
128	16	6.389618e-05	0.000000e+00	1.382828e-05
128	32	6.389618e-05	0.000000e+00	1.192093e-05
128	64	6.389618e-05	0.000000e+00	1.096725e-05
128	128	6.389618e-05	0.000000e+00	1.096725e-05
128	256	6.389618e-05	0.000000e+00	1.001358e-05
128	512	6.389618e-05	0.000000e+00	1.001358e-05
128	1024	6.389618e-05	0.000000e+00	1.001358e-05
128	2048	6.389618e-05	0.000000e+00	1.001358e-05
128	4096	6.389618e-05	0.000000e+00	1.001358e-05
128	8192	6.389618e-05	0.000000e+00	1.001358e-05
128	16384	6.389618e-05	0.000000e+00	1.001358e-05
128	32768	6.389618e-05	0.000000e+00	1.001358e-05
256	1	1.180172e-04	9.536743e-07	1.180172e-04
256	2	1.180172e-04	9.536743e-07	6.413460e-05
256	4	1.180172e-04	9.536743e-07	3.790855e-05
256	8	1.180172e-04	9.536743e-07	2.384186e-05
256	16	1.180172e-04	9.536743e-07	1.788139e-05
256	32	1.180172e-04	9.536743e-07	1.406670e-05
256	64	1.180172e-04	9.536743e-07	1.287460e-05
256	128	1.180172e-04	9.536743e-07	1.120567e-05
256	256	1.180172e-04	9.536743e-07	1.120567e-05
256	512	1.180172e-04	9.536743e-07	1.096725e-05
256	1024	1.180172e-04	9.536743e-07	1.096725e-05
256	2048	1.180172e-04	9.536743e-07	1.096725e-05
256	4096	1.180172e-04	9.536743e-07	1.096725e-05
256	8192	1.180172e-04	9.536743e-07	1.096725e-05
256	16384	1.180172e-04	9.536743e-07	1.096725e-05
256	32768	1.180172e-04	9.536743e-07	1.096725e-05
512	1	2.260208e-04	9.536743e-07	2.238750e-04
512	2	2.260208e-04	9.536743e-07	1.158714e-04
512	4	2.260208e-04	9.536743e-07	6.389618e-05
512	8	2.260208e-04	9.536743e-07	3.695488e-05
512	16	2.260208e-04	9.536743e-07	2.384186e-05
512	32	2.260208e-04	9.536743e-07	1.597404e-05
512	64	2.260208e-04	9.536743e-07	1.406670e-05
512	128	2.260208e-04	9.536743e-07	9.059906e-06
512	256	2.260208e-04	9.536743e-07	9.059906e-06
512	512	2.260208e-04	9.536743e-07	9.059906e-06
512	1024	2.260208e-04	9.536743e-07	9.059906e-06
512	2048	2.260208e-04	9.536743e-07	9.059906e-06
512	4096	2.260208e-04	9.536743e-07	9.059906e-06
512	8192	2.260208e-04	9.536743e-07	9.059906e-06
512	16384	2.260208e-04	9.536743e-07	9.059906e-06
512	32768	2.260208e-04	9.536743e-07	9.059906e-06
1024	1	4.379749e-04	3.814697e-06	4.379749e-04
1024	2	4.379749e-04	3.814697e-06	2.241135e-04
1024	4	4.379749e-04	3.814697e-06	1.170635e-04
1024	8	4.379749e-04	3.814697e-06	6.484985e-05
1024	16	4.379749e-04	3.814697e-06	3.695488e-05
1024	32	4.379749e-04	3.814697e-06	2.598763e-05
1024	64	4.379749e-04	3.814697e-06	1.907349e-05
1024	128	4.379749e-04	3.814697e-06	1.406670e-05
1024	256	4.379749e-04	3.814697e-06	1.192093e-05
1024	512	4.379749e-04	3.814697e-06	1.192093e-05
1024	1024	4.379749e-04	3.814697e-06	1.096725e-05
