N	CostTIME_onDEV	CostTIME_HOST
1	2.789497e-05	0.000000e+00
2	2.884865e-05	0.000000e+00
4	2.813339e-05	0.000000e+00
8	2.813339e-05	0.000000e+00
16	2.884865e-05	0.000000e+00
32	2.884865e-05	0.000000e+00
64	2.908707e-05	9.536743e-07
128	2.908707e-05	1.907349e-06
256	2.884865e-05	3.099442e-06
512	3.099442e-05	7.867813e-06
1024	3.504753e-05	1.597404e-05
2048	4.196167e-05	3.504753e-05
4096	4.982948e-05	7.295609e-05
8192	7.796288e-05	1.490116e-04
16384	1.261234e-04	2.939701e-04
32768	2.238750e-04	5.900860e-04
65536	4.141331e-04	1.179934e-03
131072	7.948875e-04	2.376080e-03
262144	1.568079e-03	4.770041e-03
524288	3.093004e-03	9.559155e-03
1048576	6.151915e-03	1.915503e-02
2097152	1.225591e-02	3.854489e-02
4194304	2.445388e-02	7.698417e-02
