N	CostTIME_onDEV	CostTIME_HOST
1	2.789497e-05	0.000000e+00
2	3.290176e-05	0.000000e+00
4	2.789497e-05	0.000000e+00
8	2.884865e-05	0.000000e+00
16	2.789497e-05	0.000000e+00
32	2.789497e-05	0.000000e+00
64	2.694130e-05	9.536743e-07
128	2.789497e-05	1.907349e-06
256	2.980232e-05	3.814697e-06
512	3.314018e-05	7.152557e-06
1024	3.886223e-05	1.597404e-05
2048	4.982948e-05	3.314018e-05
4096	6.794930e-05	7.009506e-05
8192	1.170635e-04	1.420975e-04
16384	2.100468e-04	2.870560e-04
32768	4.198551e-04	6.220341e-04
65536	8.051395e-04	1.217842e-03
131072	1.575947e-03	2.542019e-03
262144	3.114939e-03	5.021095e-03
524288	6.207943e-03	1.058507e-02
1048576	1.236820e-02	2.129412e-02
2097152	2.465606e-02	4.351592e-02
4194304	4.923105e-02	8.132792e-02
