N	CostTIME_onDEV	CostTIME_HOST
1	2.813339e-05	0.000000e+00
2	2.789497e-05	0.000000e+00
4	2.694130e-05	0.000000e+00
8	2.813339e-05	0.000000e+00
16	2.789497e-05	0.000000e+00
32	2.789497e-05	0.000000e+00
64	2.908707e-05	9.536743e-07
128	3.194809e-05	1.907349e-06
256	3.790855e-05	3.814697e-06
512	4.911423e-05	7.867813e-06
1024	7.081032e-05	1.597404e-05
2048	1.170635e-04	3.290176e-05
4096	2.059937e-04	6.985664e-05
8192	3.829002e-04	1.461506e-04
16384	7.429123e-04	3.008842e-04
32768	1.566172e-03	6.160736e-04
65536	3.107071e-03	1.216888e-03
131072	6.181002e-03	2.506018e-03
262144	1.233006e-02	5.024910e-03
524288	2.464390e-02	9.837151e-03
1048576	4.921889e-02	1.860595e-02
2097152	9.837699e-02	3.703499e-02
4194304	1.966889e-01	8.088708e-02
