N_ROWS	N_COLS	MRTIME_onDEV	MRTIME_HOST	CT_DtH_M	CT_HtD_V
1	1	2.908707e-05	0.000000e+00	6.914139e-06	9.536743e-07
2	1	2.908707e-05	0.000000e+00	7.867813e-06	9.536743e-07
4	1	2.908707e-05	0.000000e+00	6.914139e-06	9.536743e-07
8	1	2.884865e-05	0.000000e+00	8.106232e-06	1.907349e-06
16	1	2.884865e-05	0.000000e+00	6.914139e-06	1.907349e-06
32	1	3.004074e-05	0.000000e+00	7.152557e-06	9.536743e-07
64	1	3.099442e-05	0.000000e+00	6.914139e-06	9.536743e-07
128	1	3.385544e-05	0.000000e+00	6.914139e-06	9.536743e-07
256	1	3.886223e-05	0.000000e+00	7.867813e-06	9.536743e-07
512	1	4.982948e-05	0.000000e+00	7.867813e-06	1.907349e-06
1024	1	7.390976e-05	9.536743e-07	9.059906e-06	1.907349e-06
2048	1	1.211166e-04	1.907349e-06	1.096725e-05	2.861023e-06
4096	1	2.140999e-04	5.006790e-06	1.478195e-05	4.768372e-06
8192	1	4.091263e-04	1.192093e-05	2.408028e-05	7.867813e-06
1	2	2.908707e-05	0.000000e+00	7.152557e-06	9.536743e-07
2	2	2.884865e-05	0.000000e+00	6.914139e-06	9.536743e-07
4	2	2.908707e-05	0.000000e+00	6.914139e-06	9.536743e-07
8	2	2.789497e-05	0.000000e+00	7.152557e-06	9.536743e-07
16	2	2.884865e-05	0.000000e+00	6.914139e-06	9.536743e-07
32	2	2.884865e-05	0.000000e+00	7.152557e-06	1.907349e-06
64	2	3.099442e-05	0.000000e+00	7.152557e-06	9.536743e-07
128	2	3.385544e-05	0.000000e+00	7.152557e-06	9.536743e-07
256	2	3.910065e-05	9.536743e-07	7.867813e-06	9.536743e-07
512	2	5.006790e-05	9.536743e-07	9.059906e-06	1.907349e-06
1024	2	7.295609e-05	1.907349e-06	1.096725e-05	1.907349e-06
2048	2	1.199245e-04	3.814697e-06	1.406670e-05	2.861023e-06
4096	2	2.140999e-04	9.059906e-06	2.312660e-05	5.006790e-06
8192	2	4.091263e-04	2.002716e-05	4.100800e-05	7.867813e-06
1	4	2.908707e-05	0.000000e+00	6.914139e-06	1.192093e-06
2	4	2.908707e-05	0.000000e+00	6.914139e-06	9.536743e-07
4	4	3.004074e-05	0.000000e+00	6.914139e-06	9.536743e-07
8	4	2.789497e-05	0.000000e+00	6.914139e-06	9.536743e-07
16	4	2.813339e-05	0.000000e+00	6.914139e-06	9.536743e-07
32	4	2.884865e-05	0.000000e+00	7.152557e-06	9.536743e-07
64	4	3.004074e-05	0.000000e+00	7.152557e-06	9.536743e-07
128	4	3.314018e-05	0.000000e+00	7.867813e-06	1.192093e-06
256	4	3.910065e-05	0.000000e+00	9.059906e-06	9.536743e-07
512	4	5.006790e-05	9.536743e-07	1.096725e-05	1.907349e-06
1024	4	7.390976e-05	2.861023e-06	1.502037e-05	2.145767e-06
2048	4	1.208782e-04	6.198883e-06	2.288818e-05	2.861023e-06
4096	4	2.129078e-04	1.096725e-05	4.100800e-05	5.006790e-06
8192	4	4.160404e-04	3.194809e-05	7.200241e-05	8.821487e-06
1	8	2.789497e-05	0.000000e+00	6.914139e-06	9.536743e-07
2	8	2.908707e-05	0.000000e+00	6.914139e-06	9.536743e-07
4	8	2.884865e-05	0.000000e+00	6.914139e-06	9.536743e-07
8	8	2.884865e-05	0.000000e+00	5.960464e-06	1.907349e-06
16	8	2.908707e-05	0.000000e+00	6.914139e-06	9.536743e-07
32	8	2.908707e-05	0.000000e+00	6.914139e-06	1.907349e-06
64	8	2.288818e-05	0.000000e+00	6.914139e-06	9.536743e-07
128	8	3.314018e-05	9.536743e-07	9.059906e-06	9.536743e-07
256	8	3.790855e-05	1.907349e-06	1.001358e-05	1.907349e-06
512	8	5.102158e-05	1.907349e-06	1.478195e-05	1.907349e-06
1024	8	7.390976e-05	5.006790e-06	2.288818e-05	1.907349e-06
2048	8	1.199245e-04	1.001358e-05	4.076958e-05	3.099442e-06
4096	8	2.140999e-04	1.907349e-05	7.295609e-05	5.006790e-06
8192	8	4.160404e-04	4.601479e-05	1.361370e-04	8.106232e-06
1	16	2.908707e-05	0.000000e+00	6.914139e-06	9.536743e-07
2	16	2.908707e-05	0.000000e+00	6.914139e-06	1.192093e-06
4	16	2.908707e-05	0.000000e+00	6.914139e-06	9.536743e-07
8	16	2.884865e-05	0.000000e+00	7.152557e-06	9.536743e-07
16	16	2.789497e-05	0.000000e+00	8.106232e-06	9.536743e-07
32	16	2.884865e-05	0.000000e+00	8.106232e-06	9.536743e-07
64	16	3.004074e-05	9.536743e-07	9.059906e-06	9.536743e-07
128	16	3.290176e-05	9.536743e-07	1.096725e-05	9.536743e-07
256	16	3.886223e-05	1.907349e-06	1.502037e-05	9.536743e-07
512	16	5.102158e-05	5.006790e-06	2.288818e-05	1.907349e-06
1024	16	7.390976e-05	1.001358e-05	4.100800e-05	1.907349e-06
2048	16	1.211166e-04	1.883507e-05	7.176399e-05	2.861023e-06
4096	16	2.169609e-04	3.719330e-05	1.368523e-04	3.814697e-06
8192	16	4.169941e-04	7.319450e-05	2.641678e-04	5.960464e-06
1	32	2.884865e-05	0.000000e+00	6.914139e-06	1.907349e-06
2	32	2.884865e-05	0.000000e+00	7.152557e-06	9.536743e-07
4	32	2.884865e-05	0.000000e+00	6.914139e-06	9.536743e-07
8	32	2.884865e-05	0.000000e+00	7.867813e-06	1.907349e-06
16	32	2.908707e-05	0.000000e+00	7.867813e-06	1.192093e-06
32	32	2.908707e-05	0.000000e+00	9.059906e-06	9.536743e-07
64	32	3.004074e-05	9.536743e-07	1.096725e-05	1.907349e-06
128	32	3.290176e-05	1.907349e-06	1.597404e-05	1.192093e-06
256	32	3.886223e-05	5.006790e-06	2.312660e-05	1.192093e-06
512	32	5.102158e-05	9.059906e-06	4.100800e-05	1.907349e-06
1024	32	7.390976e-05	1.811981e-05	7.200241e-05	1.907349e-06
2048	32	1.239777e-04	3.480911e-05	1.349449e-04	2.861023e-06
4096	32	2.200603e-04	7.081032e-05	2.639294e-04	4.053116e-06
8192	32	4.210472e-04	1.409054e-04	4.460812e-04	5.960464e-06
1	64	2.908707e-05	0.000000e+00	6.914139e-06	1.907349e-06
2	64	2.813339e-05	0.000000e+00	6.914139e-06	9.536743e-07
4	64	2.694130e-05	0.000000e+00	5.960464e-06	1.907349e-06
8	64	2.884865e-05	0.000000e+00	8.106232e-06	9.536743e-07
16	64	2.789497e-05	9.536743e-07	8.821487e-06	9.536743e-07
32	64	2.813339e-05	9.536743e-07	1.096725e-05	9.536743e-07
64	64	3.099442e-05	2.861023e-06	1.502037e-05	1.192093e-06
128	64	3.409386e-05	5.006790e-06	2.312660e-05	1.907349e-06
256	64	3.886223e-05	1.096725e-05	4.100800e-05	1.907349e-06
512	64	5.292892e-05	2.217293e-05	7.295609e-05	1.907349e-06
1024	64	7.700920e-05	4.410744e-05	1.370907e-04	1.907349e-06
2048	64	1.277924e-04	8.797646e-05	2.629757e-04	2.861023e-06
4096	64	2.279282e-04	1.761913e-04	4.439354e-04	4.053116e-06
8192	64	4.358292e-04	3.499985e-04	8.111000e-04	5.960464e-06
1	128	2.813339e-05	0.000000e+00	6.914139e-06	1.192093e-06
2	128	2.884865e-05	0.000000e+00	8.106232e-06	9.536743e-07
4	128	2.884865e-05	9.536743e-07	8.106232e-06	9.536743e-07
8	128	2.908707e-05	9.536743e-07	9.059906e-06	1.907349e-06
16	128	2.884865e-05	9.536743e-07	1.096725e-05	1.907349e-06
32	128	2.884865e-05	2.861023e-06	1.502037e-05	1.907349e-06
64	128	3.099442e-05	5.960464e-06	2.288818e-05	9.536743e-07
128	128	3.480911e-05	1.192093e-05	4.005432e-05	1.907349e-06
256	128	4.100800e-05	2.384186e-05	7.200241e-05	1.907349e-06
512	128	5.507469e-05	4.696846e-05	1.361370e-04	1.907349e-06
1024	128	8.201599e-05	9.512901e-05	2.639294e-04	2.861023e-06
2048	128	1.349449e-04	1.888275e-04	4.479885e-04	2.861023e-06
4096	128	2.439022e-04	3.829002e-04	8.130074e-04	3.814697e-06
8192	128	4.680157e-04	7.989407e-04	1.544952e-03	6.914139e-06
1	256	2.884865e-05	0.000000e+00	7.152557e-06	9.536743e-07
2	256	2.908707e-05	0.000000e+00	7.867813e-06	9.536743e-07
4	256	2.884865e-05	9.536743e-07	9.059906e-06	9.536743e-07
8	256	2.813339e-05	1.192093e-06	1.001358e-05	1.907349e-06
16	256	2.884865e-05	2.861023e-06	1.502037e-05	1.907349e-06
32	256	2.980232e-05	6.198883e-06	2.288818e-05	9.536743e-07
64	256	3.194809e-05	1.192093e-05	4.005432e-05	1.907349e-06
128	256	3.600121e-05	2.503395e-05	7.200241e-05	1.907349e-06
256	256	4.410744e-05	4.911423e-05	1.358986e-04	1.907349e-06
512	256	6.008148e-05	9.822845e-05	2.641678e-04	1.907349e-06
1024	256	9.298325e-05	2.059937e-04	4.479885e-04	2.861023e-06
2048	256	1.599789e-04	4.079342e-04	8.249283e-04	3.814697e-06
4096	256	2.918243e-04	8.299351e-04	1.565933e-03	5.006790e-06
8192	256	5.638599e-04	1.646996e-03	3.036022e-03	9.775162e-06
1	512	2.813339e-05	0.000000e+00	6.914139e-06	1.907349e-06
2	512	2.884865e-05	9.536743e-07	8.821487e-06	1.192093e-06
4	512	3.004074e-05	9.536743e-07	1.096725e-05	9.536743e-07
8	512	3.004074e-05	2.861023e-06	1.478195e-05	9.536743e-07
16	512	2.980232e-05	5.960464e-06	2.288818e-05	1.907349e-06
32	512	2.980232e-05	1.311302e-05	4.005432e-05	1.907349e-06
64	512	3.409386e-05	2.503395e-05	7.200241e-05	1.907349e-06
128	512	3.981590e-05	4.982948e-05	1.370907e-04	1.907349e-06
256	512	5.197525e-05	9.989738e-05	2.639294e-04	1.907349e-06
512	512	7.414818e-05	1.990795e-04	4.439354e-04	1.907349e-06
1024	512	1.199245e-04	4.000664e-04	8.139610e-04	2.861023e-06
2048	512	2.110004e-04	8.430481e-04	1.549959e-03	3.814697e-06
4096	512	3.960133e-04	1.671076e-03	3.065109e-03	5.960464e-06
8192	512	7.669926e-04	3.329039e-03	6.057978e-03	1.096725e-05
1	1024	3.004074e-05	0.000000e+00	9.059906e-06	9.536743e-07
2	1024	2.980232e-05	9.536743e-07	1.096725e-05	9.536743e-07
4	1024	3.099442e-05	2.861023e-06	1.478195e-05	9.536743e-07
8	1024	2.694130e-05	7.152557e-06	2.288818e-05	1.907349e-06
16	1024	3.004074e-05	1.287460e-05	4.005432e-05	9.536743e-07
32	1024	3.290176e-05	2.479553e-05	7.200241e-05	1.907349e-06
64	1024	3.886223e-05	4.982948e-05	1.358986e-04	1.907349e-06
128	1024	4.792213e-05	1.001358e-04	2.639294e-04	1.907349e-06
256	1024	6.389618e-05	2.009869e-04	4.467964e-04	1.907349e-06
512	1024	9.989738e-05	4.029274e-04	8.099079e-04	2.145767e-06
1024	1024	1.709461e-04	8.320808e-04	1.554966e-03	2.861023e-06
2048	1024	3.161430e-04	1.678944e-03	3.053904e-03	5.006790e-06
4096	1024	5.979538e-04	3.336906e-03	6.053925e-03	7.867813e-06
8192	1024	1.171112e-03	6.670952e-03	1.205516e-02	1.192093e-05
1	2048	3.290176e-05	9.536743e-07	1.001358e-05	1.192093e-06
2	2048	3.290176e-05	3.099442e-06	1.502037e-05	1.907349e-06
4	2048	3.385544e-05	6.198883e-06	2.288818e-05	1.192093e-06
8	2048	3.314018e-05	1.287460e-05	4.100800e-05	1.907349e-06
16	2048	3.409386e-05	2.598763e-05	7.295609e-05	1.907349e-06
32	2048	3.790855e-05	4.982948e-05	1.368523e-04	1.907349e-06
64	2048	4.720688e-05	1.008511e-04	2.639294e-04	1.907349e-06
128	2048	6.198883e-05	2.059937e-04	4.498959e-04	1.907349e-06
256	2048	9.202957e-05	4.160404e-04	8.161068e-04	1.907349e-06
512	2048	1.530647e-04	8.440018e-04	1.556158e-03	2.861023e-06
1024	2048	2.779961e-04	1.681089e-03	3.062010e-03	5.006790e-06
2048	2048	5.218983e-04	3.350019e-03	6.046057e-03	6.914139e-06
4096	2048	1.008987e-03	6.650925e-03	1.201010e-02	7.867813e-06
8192	2048	1.991987e-03	1.333594e-02	2.401996e-02	1.096725e-05
1	4096	3.886223e-05	2.861023e-06	1.502037e-05	1.907349e-06
2	4096	3.790855e-05	6.914139e-06	2.288818e-05	1.907349e-06
4	4096	3.886223e-05	1.311302e-05	4.005432e-05	1.907349e-06
8	4096	3.886223e-05	2.503395e-05	7.295609e-05	1.907349e-06
16	4096	4.386902e-05	5.102158e-05	1.358986e-04	1.907349e-06
32	4096	4.696846e-05	1.008511e-04	2.639294e-04	1.907349e-06
64	4096	6.389618e-05	2.098083e-04	4.479885e-04	1.907349e-06
128	4096	9.107590e-05	4.088879e-04	8.149147e-04	1.907349e-06
256	4096	1.478195e-04	8.480549e-04	1.556873e-03	2.861023e-06
512	4096	2.610683e-04	1.688004e-03	3.065109e-03	4.053116e-06
1024	4096	4.849434e-04	3.335953e-03	6.044865e-03	5.960464e-06
2048	4096	9.338856e-04	6.678820e-03	1.201892e-02	6.914139e-06
4096	4096	1.836061e-03	1.330996e-02	2.402496e-02	8.106232e-06
8192	4096	3.633976e-03	2.656317e-02	4.798985e-02	1.096725e-05
1	8192	4.887581e-05	7.152557e-06	2.288818e-05	1.907349e-06
2	8192	4.911423e-05	1.311302e-05	3.910065e-05	1.907349e-06
4	8192	4.887581e-05	2.598763e-05	7.200241e-05	1.907349e-06
8	8192	5.912781e-05	5.102158e-05	1.370907e-04	1.907349e-06
16	8192	6.103516e-05	1.010895e-04	2.639294e-04	1.907349e-06
32	8192	6.580353e-05	2.031326e-04	4.470348e-04	1.907349e-06
64	8192	9.393692e-05	4.048347e-04	8.099079e-04	2.861023e-06
128	8192	1.518726e-04	8.289814e-04	1.564980e-03	2.861023e-06
256	8192	2.589226e-04	1.667976e-03	3.042936e-03	5.006790e-06
512	8192	4.720688e-04	3.333807e-03	6.063938e-03	5.006790e-06
1024	8192	9.038448e-04	6.669044e-03	1.206899e-02	5.960464e-06
2048	8192	1.762867e-03	1.330996e-02	2.406406e-02	6.914139e-06
4096	8192	3.483057e-03	2.661991e-02	4.813600e-02	7.867813e-06
8192	8192	6.927967e-03	5.311298e-02	9.627485e-02	1.192093e-05
