N_ROWS	N_COLS	MRTIME_onDEV	MRTIME_HOST	CT_DtH_M	CT_HtD_V
1	1	3.004074e-05	0.000000e+00	9.059906e-06	1.907349e-06
2	1	3.099442e-05	0.000000e+00	7.867813e-06	1.907349e-06
4	1	3.099442e-05	0.000000e+00	7.867813e-06	2.145767e-06
8	1	3.194809e-05	0.000000e+00	7.867813e-06	1.907349e-06
16	1	3.886223e-05	0.000000e+00	7.867813e-06	1.907349e-06
32	1	5.197525e-05	0.000000e+00	6.914139e-06	1.907349e-06
64	1	7.581711e-05	0.000000e+00	7.867813e-06	9.536743e-07
128	1	1.261234e-04	0.000000e+00	7.867813e-06	1.192093e-06
256	1	2.279282e-04	0.000000e+00	9.059906e-06	1.907349e-06
512	1	4.260540e-04	0.000000e+00	8.821487e-06	1.907349e-06
1024	1	8.268356e-04	9.536743e-07	1.096725e-05	2.861023e-06
2048	1	1.621962e-03	1.907349e-06	1.311302e-05	4.053116e-06
4096	1	3.220797e-03	5.960464e-06	1.788139e-05	5.006790e-06
8192	1	6.412983e-03	1.597404e-05	2.694130e-05	8.821487e-06
1	2	3.004074e-05	0.000000e+00	6.914139e-06	1.192093e-06
2	2	2.980232e-05	0.000000e+00	7.152557e-06	9.536743e-07
4	2	3.004074e-05	0.000000e+00	5.960464e-06	9.536743e-07
8	2	2.908707e-05	0.000000e+00	6.914139e-06	9.536743e-07
16	2	3.910065e-05	0.000000e+00	7.867813e-06	9.536743e-07
32	2	5.102158e-05	0.000000e+00	7.867813e-06	1.907349e-06
64	2	7.486343e-05	0.000000e+00	7.867813e-06	9.536743e-07
128	2	1.249313e-04	0.000000e+00	7.867813e-06	1.192093e-06
256	2	2.188683e-04	0.000000e+00	9.059906e-06	1.907349e-06
512	2	4.210472e-04	9.536743e-07	1.001358e-05	1.907349e-06
1024	2	8.118153e-04	1.192093e-06	1.287460e-05	2.145767e-06
2048	2	1.591921e-03	2.861023e-06	1.692772e-05	3.814697e-06
4096	2	3.166914e-03	6.914139e-06	2.598763e-05	5.960464e-06
8192	2	6.306887e-03	1.597404e-05	4.792213e-05	9.059906e-06
1	4	3.099442e-05	0.000000e+00	6.914139e-06	9.536743e-07
2	4	3.099442e-05	0.000000e+00	8.106232e-06	9.536743e-07
4	4	3.099442e-05	0.000000e+00	6.914139e-06	9.536743e-07
8	4	3.194809e-05	0.000000e+00	7.867813e-06	9.536743e-07
16	4	3.790855e-05	0.000000e+00	7.867813e-06	1.907349e-06
32	4	4.887581e-05	0.000000e+00	7.867813e-06	9.536743e-07
64	4	7.390976e-05	0.000000e+00	7.867813e-06	1.907349e-06
128	4	1.201630e-04	9.536743e-07	7.867813e-06	1.907349e-06
256	4	2.129078e-04	0.000000e+00	9.059906e-06	1.907349e-06
512	4	4.000664e-04	1.907349e-06	1.192093e-05	1.907349e-06
1024	4	7.760525e-04	2.861023e-06	1.716614e-05	1.907349e-06
2048	4	1.522064e-03	5.960464e-06	2.503395e-05	4.053116e-06
4096	4	3.114223e-03	1.120567e-05	4.315376e-05	5.960464e-06
8192	4	6.282091e-03	2.193451e-05	7.581711e-05	1.001358e-05
1	8	3.004074e-05	0.000000e+00	6.198883e-06	9.536743e-07
2	8	3.004074e-05	0.000000e+00	6.914139e-06	9.536743e-07
4	8	3.099442e-05	0.000000e+00	7.867813e-06	9.536743e-07
8	8	3.290176e-05	0.000000e+00	5.960464e-06	9.536743e-07
16	8	3.886223e-05	0.000000e+00	7.867813e-06	9.536743e-07
32	8	4.315376e-05	0.000000e+00	7.152557e-06	1.907349e-06
64	8	7.510185e-05	0.000000e+00	7.867813e-06	9.536743e-07
128	8	1.249313e-04	0.000000e+00	1.001358e-05	1.907349e-06
256	8	2.250671e-04	9.536743e-07	1.215935e-05	1.907349e-06
512	8	4.210472e-04	2.145767e-06	1.621246e-05	2.145767e-06
1024	8	8.130074e-04	5.006790e-06	2.503395e-05	2.861023e-06
2048	8	1.595020e-03	1.001358e-05	4.315376e-05	3.814697e-06
4096	8	3.171921e-03	1.907349e-05	7.390976e-05	5.960464e-06
8192	8	6.453991e-03	4.506111e-05	1.368523e-04	8.106232e-06
1	16	2.980232e-05	0.000000e+00	6.914139e-06	9.536743e-07
2	16	3.099442e-05	0.000000e+00	7.867813e-06	9.536743e-07
4	16	2.980232e-05	0.000000e+00	6.914139e-06	9.536743e-07
8	16	3.290176e-05	0.000000e+00	6.914139e-06	9.536743e-07
16	16	3.886223e-05	0.000000e+00	7.867813e-06	9.536743e-07
32	16	5.197525e-05	0.000000e+00	7.867813e-06	9.536743e-07
64	16	7.605553e-05	9.536743e-07	9.059906e-06	9.536743e-07
128	16	1.251698e-04	9.536743e-07	1.096725e-05	9.536743e-07
256	16	2.198219e-04	2.861023e-06	1.502037e-05	1.907349e-06
512	16	4.138947e-04	4.053116e-06	2.288818e-05	1.907349e-06
1024	16	8.130074e-04	8.106232e-06	4.100800e-05	1.907349e-06
