N_ROWS	N_COLS	MRTIME_onDEV	MRTIME_HOST	CT_DtH_M	CT_HtD_V
1	1	2.884865e-05	0.000000e+00	7.152557e-06	1.907349e-06
2	1	2.789497e-05	0.000000e+00	7.867813e-06	1.907349e-06
4	1	2.884865e-05	0.000000e+00	7.867813e-06	1.907349e-06
8	1	2.789497e-05	0.000000e+00	7.867813e-06	1.907349e-06
16	1	2.908707e-05	0.000000e+00	7.867813e-06	1.907349e-06
32	1	2.789497e-05	0.000000e+00	7.867813e-06	2.145767e-06
64	1	2.884865e-05	0.000000e+00	6.914139e-06	1.907349e-06
128	1	3.004074e-05	0.000000e+00	6.914139e-06	1.907349e-06
256	1	3.385544e-05	0.000000e+00	7.867813e-06	9.536743e-07
512	1	3.981590e-05	0.000000e+00	7.867813e-06	1.907349e-06
1024	1	5.483627e-05	9.536743e-07	9.059906e-06	1.907349e-06
2048	1	8.201599e-05	1.907349e-06	1.096725e-05	3.099442e-06
4096	1	1.389980e-04	5.006790e-06	1.502037e-05	5.006790e-06
8192	1	2.589226e-04	1.215935e-05	2.384186e-05	8.106232e-06
1	2	3.004074e-05	0.000000e+00	8.106232e-06	9.536743e-07
2	2	2.884865e-05	0.000000e+00	7.152557e-06	9.536743e-07
4	2	2.789497e-05	0.000000e+00	6.914139e-06	1.192093e-06
8	2	2.789497e-05	0.000000e+00	6.914139e-06	9.536743e-07
16	2	2.789497e-05	0.000000e+00	5.960464e-06	9.536743e-07
32	2	2.884865e-05	0.000000e+00	6.914139e-06	9.536743e-07
64	2	2.908707e-05	0.000000e+00	6.914139e-06	1.907349e-06
128	2	2.884865e-05	0.000000e+00	7.867813e-06	9.536743e-07
256	2	3.409386e-05	0.000000e+00	7.867813e-06	9.536743e-07
512	2	3.981590e-05	9.536743e-07	8.106232e-06	1.907349e-06
1024	2	5.483627e-05	1.192093e-06	1.096725e-05	2.861023e-06
2048	2	8.201599e-05	3.099442e-06	1.502037e-05	2.861023e-06
4096	2	1.389980e-04	5.960464e-06	2.384186e-05	5.006790e-06
8192	2	2.667904e-04	1.907349e-05	4.100800e-05	9.059906e-06
1	4	2.789497e-05	0.000000e+00	6.914139e-06	1.907349e-06
2	4	2.908707e-05	0.000000e+00	6.914139e-06	9.536743e-07
4	4	2.908707e-05	0.000000e+00	6.914139e-06	9.536743e-07
8	4	2.813339e-05	0.000000e+00	6.914139e-06	9.536743e-07
16	4	2.884865e-05	0.000000e+00	6.914139e-06	9.536743e-07
32	4	2.908707e-05	0.000000e+00	6.914139e-06	9.536743e-07
64	4	2.884865e-05	9.536743e-07	7.152557e-06	9.536743e-07
128	4	3.099442e-05	0.000000e+00	7.867813e-06	1.907349e-06
256	4	3.385544e-05	9.536743e-07	8.821487e-06	9.536743e-07
512	4	4.100800e-05	9.536743e-07	1.096725e-05	1.907349e-06
1024	4	5.388260e-05	2.861023e-06	1.597404e-05	2.145767e-06
2048	4	8.392334e-05	5.960464e-06	2.288818e-05	3.099442e-06
4096	4	1.389980e-04	1.096725e-05	4.100800e-05	5.006790e-06
8192	4	2.589226e-04	2.193451e-05	7.390976e-05	8.821487e-06
1	8	2.884865e-05	0.000000e+00	6.914139e-06	9.536743e-07
2	8	2.813339e-05	0.000000e+00	6.914139e-06	1.192093e-06
4	8	2.789497e-05	0.000000e+00	6.914139e-06	9.536743e-07
8	8	2.908707e-05	0.000000e+00	6.914139e-06	1.192093e-06
16	8	2.789497e-05	0.000000e+00	7.152557e-06	9.536743e-07
32	8	2.813339e-05	0.000000e+00	7.867813e-06	9.536743e-07
64	8	2.789497e-05	0.000000e+00	7.867813e-06	9.536743e-07
128	8	2.980232e-05	9.536743e-07	7.867813e-06	1.907349e-06
256	8	3.290176e-05	9.536743e-07	1.096725e-05	9.536743e-07
512	8	3.981590e-05	2.145767e-06	1.502037e-05	1.907349e-06
1024	8	5.507469e-05	5.006790e-06	2.193451e-05	2.145767e-06
2048	8	8.296967e-05	1.001358e-05	4.100800e-05	3.814697e-06
4096	8	1.380444e-04	2.002716e-05	7.295609e-05	5.006790e-06
8192	8	2.751350e-04	4.410744e-05	1.378059e-04	8.821487e-06
1	16	3.004074e-05	0.000000e+00	6.914139e-06	9.536743e-07
2	16	2.908707e-05	0.000000e+00	6.914139e-06	9.536743e-07
4	16	2.789497e-05	0.000000e+00	8.106232e-06	9.536743e-07
8	16	2.908707e-05	0.000000e+00	6.914139e-06	9.536743e-07
16	16	2.884865e-05	0.000000e+00	7.867813e-06	1.192093e-06
32	16	2.908707e-05	0.000000e+00	7.867813e-06	9.536743e-07
64	16	2.789497e-05	0.000000e+00	9.059906e-06	9.536743e-07
128	16	3.099442e-05	9.536743e-07	1.096725e-05	1.907349e-06
256	16	3.385544e-05	1.907349e-06	1.502037e-05	1.907349e-06
512	16	4.100800e-05	4.053116e-06	2.288818e-05	1.907349e-06
1024	16	5.507469e-05	7.867813e-06	4.005432e-05	1.907349e-06
2048	16	8.392334e-05	1.597404e-05	7.295609e-05	2.861023e-06
4096	16	1.478195e-04	4.196167e-05	1.380444e-04	3.814697e-06
8192	16	2.760887e-04	7.390976e-05	2.667904e-04	5.006790e-06
1	32	2.503395e-05	0.000000e+00	7.152557e-06	9.536743e-07
2	32	2.789497e-05	0.000000e+00	6.914139e-06	1.907349e-06
4	32	2.884865e-05	0.000000e+00	6.914139e-06	1.907349e-06
8	32	2.789497e-05	0.000000e+00	8.106232e-06	9.536743e-07
16	32	2.789497e-05	0.000000e+00	7.867813e-06	9.536743e-07
32	32	2.789497e-05	0.000000e+00	8.821487e-06	1.192093e-06
64	32	2.884865e-05	9.536743e-07	1.096725e-05	9.536743e-07
128	32	3.099442e-05	2.861023e-06	1.502037e-05	9.536743e-07
256	32	3.409386e-05	4.053116e-06	2.312660e-05	1.907349e-06
512	32	4.196167e-05	7.867813e-06	3.981590e-05	1.907349e-06
1024	32	5.507469e-05	1.788139e-05	7.295609e-05	1.907349e-06
2048	32	8.606911e-05	3.480911e-05	1.358986e-04	3.099442e-06
4096	32	1.499653e-04	6.699562e-05	2.658367e-04	4.053116e-06
8192	32	2.830029e-04	1.561642e-04	4.620552e-04	5.960464e-06
1	64	2.813339e-05	0.000000e+00	6.914139e-06	1.907349e-06
2	64	2.884865e-05	0.000000e+00	7.152557e-06	1.907349e-06
4	64	2.908707e-05	0.000000e+00	7.867813e-06	9.536743e-07
8	64	2.908707e-05	0.000000e+00	7.867813e-06	9.536743e-07
16	64	2.884865e-05	9.536743e-07	8.821487e-06	2.145767e-06
