SIZE	S_TIME_onDEV	S_TIME_HOST	SB_TIME_onDEV	SB_TIME_HOST	CT_DtH	CT_HtD
1	1.597404e-05	0.000000e+00	2.384186e-05	0.000000e+00	1.502037e-05	1.907349e-06
2	1.597404e-05	0.000000e+00	2.408028e-05	0.000000e+00	1.382828e-05	9.536743e-07
4	7.605553e-05	0.000000e+00	1.788139e-05	0.000000e+00	6.294250e-05	9.536743e-07
8	7.414818e-05	0.000000e+00	8.893013e-05	0.000000e+00	5.412102e-05	1.907349e-06
16	1.597404e-05	0.000000e+00	2.384186e-05	0.000000e+00	1.406670e-05	9.536743e-07
32	1.692772e-05	0.000000e+00	2.408028e-05	0.000000e+00	1.287460e-05	9.536743e-07
64	1.692772e-05	9.536743e-07	2.503395e-05	9.536743e-07	1.192093e-05	9.536743e-07
128	1.883507e-05	1.907349e-06	2.598763e-05	3.814697e-06	9.059906e-06	1.907349e-06
256	2.193451e-05	4.053116e-06	2.789497e-05	7.867813e-06	7.867813e-06	9.536743e-07
512	2.598763e-05	6.914139e-06	3.886223e-05	1.883507e-05	9.059906e-06	1.907349e-06
1024	3.504753e-05	1.597404e-05	7.891655e-05	5.602837e-05	1.001358e-05	2.145767e-06
2048	5.984306e-05	3.290176e-05	1.888275e-04	1.420975e-04	1.287460e-05	3.814697e-06
4096	1.368523e-04	7.200241e-05	5.509853e-04	5.209446e-04	3.695488e-05	8.106232e-06
8192	1.430511e-04	1.430511e-04	7.920265e-04	2.141953e-03	4.982948e-05	1.406670e-05
16384	1.890659e-04	2.830029e-04	1.643181e-03	5.315781e-03	5.888939e-05	1.788139e-05
32768	4.279613e-04	5.638599e-04	3.291845e-03	3.506613e-02	1.008511e-04	3.695488e-05
65536	4.158020e-04	1.127005e-03	9.696007e-03	9.290504e-02	1.759529e-04	6.985664e-05
131072	6.000996e-04	2.254963e-03	2.243614e-02	2.669699e-01	3.099442e-04	1.361370e-04
262144	8.790493e-04	4.513979e-03	5.326295e-02	7.565761e-01	5.531311e-04	3.199577e-04
