SIZE	S_TIME_onDEV	S_TIME_HOST	SB_TIME_onDEV	SB_TIME_HOST	CT_DtH	CT_HtD	D_STIME_onDEV	D_STIME_HOST	BB_OPT_TIME
1	1.597404e-05	0.000000e+00	2.980232e-05	0.000000e+00	6.914139e-06	9.536743e-07	1.621246e-05	0.000000e+00	0.000000e+00
2	1.597404e-05	0.000000e+00	2.980232e-05	0.000000e+00	6.914139e-06	9.536743e-07	1.692772e-05	0.000000e+00	0.000000e+00
4	1.597404e-05	0.000000e+00	3.004074e-05	0.000000e+00	6.914139e-06	9.536743e-07	1.597404e-05	0.000000e+00	0.000000e+00
8	1.597404e-05	0.000000e+00	2.980232e-05	0.000000e+00	5.960464e-06	9.536743e-07	1.597404e-05	0.000000e+00	0.000000e+00
16	1.597404e-05	0.000000e+00	2.884865e-05	0.000000e+00	6.914139e-06	9.536743e-07	1.597404e-05	0.000000e+00	0.000000e+00
32	1.502037e-05	0.000000e+00	2.884865e-05	0.000000e+00	6.914139e-06	9.536743e-07	1.692772e-05	0.000000e+00	0.000000e+00
64	1.406670e-05	0.000000e+00	3.004074e-05	1.907349e-06	6.914139e-06	9.536743e-07	1.001358e-05	9.536743e-07	0.000000e+00
128	1.406670e-05	9.536743e-07	3.290176e-05	3.814697e-06	6.914139e-06	9.536743e-07	2.002716e-05	2.861023e-06	0.000000e+00
256	1.311302e-05	2.861023e-06	4.005432e-05	8.821487e-06	7.867813e-06	1.907349e-06	2.694130e-05	6.914139e-06	0.000000e+00
512	1.788139e-05	6.914139e-06	7.200241e-05	2.288818e-05	8.821487e-06	1.907349e-06	3.790855e-05	1.597404e-05	0.000000e+00
1024	2.813339e-05	1.478195e-05	4.200935e-04	7.295609e-05	9.059906e-06	1.907349e-06	8.487701e-05	5.006790e-05	0.000000e+00
2048	4.601479e-05	2.980232e-05	1.019001e-03	1.749992e-04	1.788139e-05	3.099442e-06	5.290508e-04	1.108646e-04	0.000000e+00
4096	1.220703e-04	6.079674e-05	9.198189e-04	4.620552e-04	2.312660e-05	5.006790e-06	7.290840e-04	2.839565e-04	0.000000e+00
8192	1.289845e-04	1.220703e-04	2.175808e-03	1.297951e-03	3.504753e-05	9.059906e-06	1.789808e-03	7.338524e-04	0.000000e+00
16384	4.439354e-04	2.489090e-04	1.521111e-03	4.267931e-03	6.580353e-05	1.478195e-05	1.121044e-03	1.945972e-03	0.000000e+00
32768	8.299351e-04	5.002022e-04	2.924204e-03	2.118087e-02	9.989738e-05	2.884865e-05	2.104998e-03	5.187988e-03	0.000000e+00
65536	9.970665e-04	9.949207e-04	5.602121e-03	5.505681e-02	1.668930e-04	5.698204e-05	3.839016e-03	1.393414e-02	0.000000e+00
131072	8.771420e-04	1.982927e-03	1.560187e-02	1.409099e-01	3.068447e-04	1.230240e-04	9.170055e-03	3.852797e-02	0.000000e+00
262144	1.431942e-03	3.986120e-03	3.712201e-02	4.746730e-01	5.631447e-04	3.330708e-04	2.231383e-02	1.059489e-01	0.000000e+00
