SIZE	S_TIME_onDEV	S_TIME_HOST	SB_TIME_onDEV	SB_TIME_HOST	CT_DtH	CT_HtD	D_STIME_onDEV	D_STIME_HOST	BB_OPT_TIME
1	1.502037e-05	0.000000e+00	4.982948e-05	0.000000e+00	6.914139e-06	9.536743e-07	1.597404e-05	0.000000e+00	0.000000e+00
2	1.502037e-05	0.000000e+00	4.887581e-05	0.000000e+00	6.914139e-06	9.536743e-07	1.597404e-05	0.000000e+00	0.000000e+00
4	1.502037e-05	0.000000e+00	4.982948e-05	0.000000e+00	6.914139e-06	9.536743e-07	1.597404e-05	0.000000e+00	0.000000e+00
8	1.597404e-05	0.000000e+00	4.887581e-05	0.000000e+00	6.914139e-06	9.536743e-07	1.692772e-05	0.000000e+00	0.000000e+00
16	1.502037e-05	0.000000e+00	4.792213e-05	0.000000e+00	6.914139e-06	9.536743e-07	1.692772e-05	0.000000e+00	0.000000e+00
32	1.502037e-05	0.000000e+00	5.078316e-05	0.000000e+00	6.914139e-06	9.536743e-07	1.692772e-05	0.000000e+00	0.000000e+00
64	1.382828e-05	9.536743e-07	4.601479e-05	1.907349e-06	7.867813e-06	9.536743e-07	1.811981e-05	9.536743e-07	0.000000e+00
128	1.382828e-05	9.536743e-07	5.006790e-05	3.814697e-06	6.914139e-06	9.536743e-07	2.002716e-05	2.145767e-06	0.000000e+00
256	1.382828e-05	2.861023e-06	5.292892e-05	8.821487e-06	7.867813e-06	9.536743e-07	2.694130e-05	6.914139e-06	0.000000e+00
512	1.811981e-05	6.914139e-06	8.702278e-05	2.193451e-05	8.821487e-06	1.907349e-06	3.790855e-05	1.597404e-05	0.000000e+00
1024	2.789497e-05	1.502037e-05	4.580021e-04	6.985664e-05	1.001358e-05	2.145767e-06	8.487701e-05	4.982948e-05	0.000000e+00
2048	4.601479e-05	2.908707e-05	9.732246e-04	1.749992e-04	1.788139e-05	4.053116e-06	5.409718e-04	1.108646e-04	0.000000e+00
4096	1.320839e-04	6.103516e-05	9.620190e-04	4.611015e-04	2.384186e-05	5.006790e-06	7.381439e-04	2.839565e-04	0.000000e+00
8192	1.320839e-04	1.230240e-04	2.227783e-03	1.298189e-03	3.695488e-05	9.059906e-06	1.788139e-03	7.369518e-04	0.000000e+00
16384	4.708767e-04	2.498627e-04	1.546144e-03	4.269838e-03	6.604195e-05	1.597404e-05	1.138926e-03	1.941919e-03	0.000000e+00
32768	5.519390e-04	5.018711e-04	2.871990e-03	2.109790e-02	1.001358e-04	2.884865e-05	1.901865e-03	5.166054e-03	0.000000e+00
65536	7.119179e-04	9.989738e-04	5.681992e-03	5.520010e-02	1.659393e-04	5.793571e-05	3.896952e-03	1.410198e-02	0.000000e+00
131072	5.168915e-04	1.975060e-03	1.565313e-02	1.411440e-01	3.068447e-04	1.208782e-04	9.192944e-03	3.852391e-02	0.000000e+00
262144	1.096964e-03	3.992081e-03	3.711295e-02	4.743471e-01	5.581379e-04	3.328323e-04	2.254701e-02	1.075799e-01	0.000000e+00
