SIZE	S_TIME_onDEV	S_TIME_HOST	SB_TIME_onDEV	SB_TIME_HOST	CT_DtH	CT_HtD	D_STIME_onDEV	D_STIME_HOST	BB_OPT_TIME
1	1.597404e-05	0.000000e+00	1.811981e-05	0.000000e+00	1.502037e-05	9.536743e-07	1.001358e-05	0.000000e+00	0.000000e+00
2	1.597404e-05	0.000000e+00	2.288818e-05	0.000000e+00	1.502037e-05	9.536743e-07	1.597404e-05	0.000000e+00	0.000000e+00
4	1.597404e-05	0.000000e+00	2.288818e-05	0.000000e+00	1.502037e-05	9.536743e-07	1.597404e-05	0.000000e+00	0.000000e+00
8	1.597404e-05	0.000000e+00	2.288818e-05	0.000000e+00	1.502037e-05	9.536743e-07	1.597404e-05	0.000000e+00	0.000000e+00
16	1.502037e-05	0.000000e+00	2.288818e-05	0.000000e+00	1.311302e-05	9.536743e-07	1.597404e-05	0.000000e+00	0.000000e+00
32	1.406670e-05	0.000000e+00	2.288818e-05	0.000000e+00	1.287460e-05	9.536743e-07	1.597404e-05	0.000000e+00	0.000000e+00
64	1.382828e-05	0.000000e+00	2.288818e-05	9.536743e-07	1.192093e-05	9.536743e-07	1.788139e-05	9.536743e-07	0.000000e+00
128	1.215935e-05	9.536743e-07	2.503395e-05	3.099442e-06	7.867813e-06	9.536743e-07	1.978874e-05	2.145767e-06	0.000000e+00
256	1.192093e-05	2.861023e-06	2.908707e-05	9.059906e-06	8.106232e-06	9.536743e-07	2.694130e-05	6.914139e-06	0.000000e+00
512	1.788139e-05	6.914139e-06	4.005432e-05	2.193451e-05	7.867813e-06	1.907349e-06	3.790855e-05	1.597404e-05	0.000000e+00
1024	2.789497e-05	1.478195e-05	1.108646e-04	7.295609e-05	1.001358e-05	1.907349e-06	8.487701e-05	4.982948e-05	0.000000e+00
2048	4.696846e-05	3.004074e-05	4.088879e-04	1.749992e-04	1.192093e-05	2.861023e-06	1.709461e-04	1.108646e-04	0.000000e+00
4096	1.399517e-04	6.103516e-05	4.999638e-04	4.630089e-04	1.502037e-05	4.768372e-06	4.479885e-04	2.849102e-04	0.000000e+00
8192	1.330376e-04	1.230240e-04	1.459122e-03	1.308918e-03	2.717972e-05	9.059906e-06	1.516819e-03	7.379055e-04	0.000000e+00
16384	1.721382e-04	2.501011e-04	1.214981e-03	4.352093e-03	6.604195e-05	1.597404e-05	1.129150e-03	1.940012e-03	0.000000e+00
32768	8.959770e-04	5.028248e-04	2.654076e-03	2.128291e-02	1.001358e-04	2.789497e-05	2.111197e-03	5.220890e-03	0.000000e+00
65536	1.039028e-03	9.930134e-04	5.638123e-03	5.570483e-02	1.649857e-04	5.698204e-05	3.829956e-03	1.407504e-02	0.000000e+00
131072	1.142025e-03	1.981974e-03	1.588178e-02	1.420162e-01	3.058910e-04	1.211166e-04	9.411812e-03	3.876591e-02	0.000000e+00
262144	1.137018e-03	3.966808e-03	3.703713e-02	4.787738e-01	5.588531e-04	3.318787e-04	2.284098e-02	1.061258e-01	0.000000e+00
