SIZE	S_TIME_onDEV	S_TIME_HOST	SB_TIME_onDEV	SB_TIME_HOST	CT_DtH	CT_HtD	D_STIME_onDEV	D_STIME_HOST	BB_OPT_TIME
1	8.821487e-06	0.000000e+00	4.601479e-05	0.000000e+00	6.914139e-06	9.536743e-07	3.099442e-05	0.000000e+00	0.000000e+00
2	8.821487e-06	0.000000e+00	4.601479e-05	0.000000e+00	7.152557e-06	9.536743e-07	3.099442e-05	0.000000e+00	0.000000e+00
4	8.821487e-06	0.000000e+00	4.601479e-05	0.000000e+00	6.914139e-06	9.536743e-07	3.099442e-05	0.000000e+00	0.000000e+00
8	8.106232e-06	0.000000e+00	4.601479e-05	0.000000e+00	6.914139e-06	9.536743e-07	3.099442e-05	0.000000e+00	0.000000e+00
16	9.059906e-06	0.000000e+00	4.482269e-05	0.000000e+00	6.914139e-06	9.536743e-07	2.908707e-05	0.000000e+00	0.000000e+00
32	8.821487e-06	0.000000e+00	4.506111e-05	9.536743e-07	6.914139e-06	9.536743e-07	3.099442e-05	0.000000e+00	0.000000e+00
64	1.001358e-05	9.536743e-07	4.386902e-05	1.907349e-06	6.914139e-06	9.536743e-07	3.290176e-05	9.536743e-07	0.000000e+00
128	1.096725e-05	9.536743e-07	5.698204e-05	4.053116e-06	7.867813e-06	9.536743e-07	4.005432e-05	2.861023e-06	0.000000e+00
256	1.406670e-05	2.861023e-06	6.484985e-05	9.059906e-06	8.106232e-06	9.536743e-07	4.982948e-05	6.914139e-06	0.000000e+00
512	1.788139e-05	6.914139e-06	1.039505e-04	2.193451e-05	8.821487e-06	1.907349e-06	8.296967e-05	1.597404e-05	0.000000e+00
1024	2.813339e-05	1.502037e-05	1.881123e-04	7.295609e-05	1.001358e-05	1.907349e-06	1.630783e-04	4.982948e-05	0.000000e+00
2048	4.696846e-05	2.980232e-05	7.359982e-04	1.740456e-04	1.788139e-05	3.099442e-06	6.420612e-04	1.108646e-04	0.000000e+00
4096	1.189709e-04	6.079674e-05	1.438856e-03	4.639626e-04	2.384186e-05	3.814697e-06	1.144171e-03	2.849102e-04	0.000000e+00
8192	1.420975e-04	1.227856e-04	2.612114e-03	1.414061e-03	3.385544e-05	6.914139e-06	2.265930e-03	7.309914e-04	0.000000e+00
16384	4.568100e-04	2.489090e-04	3.378153e-03	4.302979e-03	6.699562e-05	1.478195e-05	3.015041e-03	1.934052e-03	0.000000e+00
32768	6.101131e-04	5.009174e-04	8.602858e-03	2.118421e-02	1.010895e-04	2.884865e-05	8.109093e-03	5.185127e-03	0.000000e+00
65536	9.150505e-04	9.930134e-04	2.538705e-02	5.543613e-02	1.659393e-04	5.793571e-05	2.372694e-02	1.393104e-02	0.000000e+00
131072	1.166105e-03	1.976967e-03	7.583904e-02	1.417880e-01	3.070831e-04	1.220703e-04	6.959701e-02	3.862882e-02	0.000000e+00
262144	1.135111e-03	3.979921e-03	2.104342e-01	4.800820e-01	5.600452e-04	3.299713e-04	1.959250e-01	1.066680e-01	0.000000e+00
