SIZE	S_TIME_onDEV	S_TIME_HOST	SB_TIME_onDEV	SB_TIME_HOST	CT_DtH	CT_HtD	D_STIME_onDEV	D_STIME_HOST	BB_OPT_TIME
1	1.597404e-05	0.000000e+00	2.980232e-05	0.000000e+00	7.152557e-06	9.536743e-07	1.692772e-05	0.000000e+00	0.000000e+00
2	1.597404e-05	0.000000e+00	2.908707e-05	0.000000e+00	6.914139e-06	9.536743e-07	1.597404e-05	0.000000e+00	0.000000e+00
4	1.597404e-05	0.000000e+00	2.884865e-05	0.000000e+00	7.152557e-06	9.536743e-07	9.059906e-06	0.000000e+00	0.000000e+00
8	9.059906e-06	0.000000e+00	3.004074e-05	0.000000e+00	6.914139e-06	9.536743e-07	1.597404e-05	0.000000e+00	0.000000e+00
16	1.478195e-05	0.000000e+00	2.980232e-05	0.000000e+00	5.960464e-06	9.536743e-07	1.001358e-05	0.000000e+00	0.000000e+00
32	1.502037e-05	0.000000e+00	3.004074e-05	0.000000e+00	7.152557e-06	9.536743e-07	1.692772e-05	0.000000e+00	0.000000e+00
64	1.478195e-05	0.000000e+00	3.099442e-05	1.907349e-06	6.914139e-06	9.536743e-07	1.811981e-05	9.536743e-07	0.000000e+00
128	1.406670e-05	9.536743e-07	3.314018e-05	3.814697e-06	6.914139e-06	9.536743e-07	2.098083e-05	2.861023e-06	0.000000e+00
256	1.382828e-05	2.861023e-06	4.005432e-05	8.821487e-06	7.867813e-06	9.536743e-07	2.694130e-05	6.914139e-06	0.000000e+00
512	1.788139e-05	6.914139e-06	7.081032e-05	2.288818e-05	7.867813e-06	1.907349e-06	3.790855e-05	1.597404e-05	0.000000e+00
1024	2.694130e-05	1.478195e-05	4.909039e-04	7.295609e-05	9.059906e-06	1.907349e-06	8.392334e-05	4.982948e-05	0.000000e+00
2048	4.601479e-05	2.980232e-05	9.758472e-04	1.740456e-04	1.692772e-05	2.861023e-06	1.790524e-04	1.108646e-04	0.000000e+00
4096	1.180172e-04	6.079674e-05	9.360313e-04	4.608631e-04	2.288818e-05	5.006790e-06	7.328987e-04	2.839565e-04	0.000000e+00
8192	1.389980e-04	1.227856e-04	2.165794e-03	1.315117e-03	3.600121e-05	9.059906e-06	1.616001e-03	7.309914e-04	0.000000e+00
16384	4.551411e-04	2.510548e-04	1.616955e-03	4.337072e-03	6.699562e-05	1.502037e-05	1.239061e-03	1.940966e-03	0.000000e+00
32768	7.741451e-04	4.990101e-04	2.780914e-03	2.111387e-02	1.008511e-04	2.884865e-05	1.939058e-03	5.165815e-03	0.000000e+00
65536	9.729862e-04	9.939671e-04	5.298853e-03	5.500913e-02	1.659393e-04	5.793571e-05	3.490925e-03	1.392007e-02	0.000000e+00
131072	8.528233e-04	1.977205e-03	1.643085e-02	1.410241e-01	3.089905e-04	1.230240e-04	1.001096e-02	3.867292e-02	0.000000e+00
262144	1.446962e-03	3.977060e-03	3.677487e-02	4.754961e-01	5.619526e-04	3.309250e-04	2.220702e-02	1.059790e-01	0.000000e+00
