SIZE	S_TIME_onDEV	S_TIME_HOST	SB_TIME_onDEV	SB_TIME_HOST	CT_DtH	CT_HtD	D_STIME_onDEV	D_STIME_HOST	BB_OPT_TIME
1	9.059906e-06	0.000000e+00	4.601479e-05	0.000000e+00	6.914139e-06	9.536743e-07	3.099442e-05	0.000000e+00	0.000000e+00
2	9.059906e-06	0.000000e+00	4.601479e-05	0.000000e+00	6.914139e-06	9.536743e-07	3.004074e-05	0.000000e+00	0.000000e+00
4	8.821487e-06	0.000000e+00	4.601479e-05	0.000000e+00	6.914139e-06	9.536743e-07	3.099442e-05	0.000000e+00	0.000000e+00
8	8.821487e-06	0.000000e+00	4.482269e-05	0.000000e+00	5.960464e-06	9.536743e-07	3.004074e-05	0.000000e+00	0.000000e+00
16	9.059906e-06	0.000000e+00	4.601479e-05	0.000000e+00	5.960464e-06	9.536743e-07	3.004074e-05	0.000000e+00	0.000000e+00
32	8.821487e-06	0.000000e+00	4.506111e-05	9.536743e-07	6.914139e-06	9.536743e-07	3.004074e-05	0.000000e+00	0.000000e+00
64	1.001358e-05	0.000000e+00	4.482269e-05	1.907349e-06	6.914139e-06	9.536743e-07	2.980232e-05	9.536743e-07	0.000000e+00
128	1.096725e-05	9.536743e-07	4.887581e-05	3.814697e-06	6.914139e-06	9.536743e-07	3.290176e-05	2.861023e-06	0.000000e+00
256	1.406670e-05	2.861023e-06	5.102158e-05	8.821487e-06	7.867813e-06	9.536743e-07	3.695488e-05	6.914139e-06	0.000000e+00
512	1.811981e-05	6.914139e-06	6.699562e-05	2.193451e-05	8.821487e-06	1.907349e-06	4.601479e-05	1.597404e-05	0.000000e+00
1024	2.789497e-05	1.478195e-05	9.608269e-05	7.200241e-05	1.001358e-05	1.907349e-06	7.104874e-05	4.982948e-05	0.000000e+00
2048	4.696846e-05	2.980232e-05	5.898476e-04	1.740456e-04	1.788139e-05	2.861023e-06	1.411438e-04	1.108646e-04	0.000000e+00
4096	1.189709e-04	6.103516e-05	8.790493e-04	4.620552e-04	2.288818e-05	4.053116e-06	5.891323e-04	2.839565e-04	0.000000e+00
8192	1.409054e-04	1.220703e-04	1.332045e-03	1.412868e-03	3.790855e-05	6.914139e-06	9.829998e-04	7.288456e-04	0.000000e+00
16384	4.589558e-04	2.479553e-04	1.603127e-03	4.301071e-03	6.484985e-05	1.502037e-05	1.245022e-03	1.939058e-03	0.000000e+00
32768	8.261204e-04	5.018711e-04	2.758026e-03	2.119899e-02	9.989738e-05	2.884865e-05	1.940012e-03	5.150080e-03	0.000000e+00
65536	1.029015e-03	9.939671e-04	5.289078e-03	5.517697e-02	1.649857e-04	5.698204e-05	3.495932e-03	1.396608e-02	0.000000e+00
131072	8.599758e-04	1.976013e-03	1.647997e-02	1.414881e-01	3.070831e-04	1.227856e-04	9.984970e-03	3.855896e-02	0.000000e+00
262144	1.455069e-03	3.966093e-03	3.667188e-02	4.749851e-01	5.559921e-04	3.311634e-04	2.259398e-02	1.061790e-01	0.000000e+00
