SIZE	S_TIME_onDEV	S_TIME_HOST	SB_TIME_onDEV	SB_TIME_HOST	CT_DtH	CT_HtD	D_STIME_onDEV	D_STIME_HOST	BB_OPT_TIME
1	8.320808e-05	0.000000e+00	1.289845e-04	0.000000e+00	7.867813e-06	1.192093e-06	1.118183e-04	0.000000e+00	0.000000e+00
2	8.296967e-05	0.000000e+00	1.211166e-04	0.000000e+00	5.960464e-06	9.536743e-07	1.118183e-04	0.000000e+00	0.000000e+00
4	8.296967e-05	0.000000e+00	1.289845e-04	0.000000e+00	7.152557e-06	9.536743e-07	1.108646e-04	0.000000e+00	0.000000e+00
8	8.296967e-05	0.000000e+00	1.280308e-04	0.000000e+00	7.152557e-06	9.536743e-07	1.108646e-04	0.000000e+00	0.000000e+00
16	7.987022e-05	0.000000e+00	1.249313e-04	0.000000e+00	7.152557e-06	9.536743e-07	1.120567e-04	0.000000e+00	0.000000e+00
32	7.987022e-05	0.000000e+00	1.311302e-04	0.000000e+00	6.914139e-06	9.536743e-07	1.080036e-04	0.000000e+00	0.000000e+00
64	8.082390e-05	9.536743e-07	1.239777e-04	1.907349e-06	6.914139e-06	9.536743e-07	1.099110e-04	9.536743e-07	0.000000e+00
128	8.487701e-05	9.536743e-07	1.339912e-04	3.814697e-06	7.867813e-06	1.907349e-06	1.139641e-04	2.861023e-06	0.000000e+00
256	8.201599e-05	3.099442e-06	1.268387e-04	8.821487e-06	7.867813e-06	9.536743e-07	1.158714e-04	5.960464e-06	0.000000e+00
512	8.082390e-05	6.914139e-06	1.330376e-04	2.098083e-05	8.821487e-06	1.907349e-06	1.120567e-04	1.478195e-05	0.000000e+00
1024	8.893013e-05	1.502037e-05	1.471043e-04	6.794930e-05	1.001358e-05	1.907349e-06	1.199245e-04	4.577637e-05	0.000000e+00
2048	1.029968e-04	2.980232e-05	6.940365e-04	1.609325e-04	1.811981e-05	2.861023e-06	4.358292e-04	9.799004e-05	0.000000e+00
4096	1.158714e-04	6.103516e-05	7.660389e-04	4.358292e-04	2.312660e-05	3.814697e-06	4.830360e-04	2.567768e-04	0.000000e+00
8192	1.330376e-04	1.230240e-04	9.188652e-04	1.355886e-03	3.290176e-05	6.914139e-06	6.380081e-04	6.701946e-04	0.000000e+00
16384	4.439354e-04	2.489090e-04	1.437902e-03	4.271984e-03	6.580353e-05	1.502037e-05	1.045942e-03	1.820087e-03	0.000000e+00
32768	8.940697e-04	4.990101e-04	3.293991e-03	2.101898e-02	9.894371e-05	2.813339e-05	2.464056e-03	4.991055e-03	0.000000e+00
65536	1.010180e-03	9.930134e-04	6.953955e-03	5.477786e-02	1.649857e-04	5.698204e-05	5.158901e-03	1.370096e-02	0.000000e+00
131072	1.154184e-03	1.978159e-03	2.071691e-02	1.409540e-01	3.068447e-04	1.218319e-04	1.432204e-02	3.816390e-02	0.000000e+00
