SIZE	S_TIME_onDEV	S_TIME_HOST	SB_TIME_onDEV	SB_TIME_HOST	CT_DtH	CT_HtD	D_STIME_onDEV	D_STIME_HOST	BB_OPT_TIME
1	1.597404e-05	0.000000e+00	1.797693e+308	1.797693e+308	1.382828e-05	9.536743e-07	1.797693e+308	1.797693e+308	1.797693e+308
2	1.597404e-05	0.000000e+00	1.797693e+308	1.797693e+308	1.287460e-05	9.536743e-07	1.797693e+308	1.797693e+308	1.797693e+308
4	1.597404e-05	0.000000e+00	1.797693e+308	1.797693e+308	1.406670e-05	9.536743e-07	1.797693e+308	1.797693e+308	1.797693e+308
8	1.597404e-05	0.000000e+00	1.797693e+308	1.797693e+308	1.311302e-05	9.536743e-07	1.797693e+308	1.797693e+308	1.797693e+308
16	1.597404e-05	0.000000e+00	1.797693e+308	1.797693e+308	1.311302e-05	9.536743e-07	1.797693e+308	1.797693e+308	1.797693e+308
32	1.597404e-05	0.000000e+00	1.797693e+308	1.797693e+308	1.215935e-05	9.536743e-07	1.797693e+308	1.797693e+308	1.797693e+308
64	1.692772e-05	0.000000e+00	1.797693e+308	1.797693e+308	1.192093e-05	9.536743e-07	1.797693e+308	1.797693e+308	1.797693e+308
128	1.120567e-05	9.536743e-07	1.797693e+308	1.797693e+308	1.096725e-05	9.536743e-07	1.797693e+308	1.797693e+308	1.797693e+308
256	2.002716e-05	3.099442e-06	1.797693e+308	1.797693e+308	7.152557e-06	9.536743e-07	1.797693e+308	1.797693e+308	1.797693e+308
512	2.312660e-05	6.914139e-06	1.797693e+308	1.797693e+308	6.914139e-06	1.907349e-06	1.797693e+308	1.797693e+308	1.797693e+308
1024	3.290176e-05	1.502037e-05	1.797693e+308	1.797693e+308	7.867813e-06	1.907349e-06	1.797693e+308	1.797693e+308	1.797693e+308
2048	5.102158e-05	2.980232e-05	1.797693e+308	1.797693e+308	1.001358e-05	2.861023e-06	1.797693e+308	1.797693e+308	1.797693e+308
4096	1.020432e-04	6.103516e-05	1.797693e+308	1.797693e+308	1.502037e-05	5.006790e-06	1.797693e+308	1.797693e+308	1.797693e+308
8192	1.280308e-04	1.218319e-04	1.797693e+308	1.797693e+308	2.408028e-05	6.914139e-06	1.797693e+308	1.797693e+308	1.797693e+308
16384	4.608631e-04	2.460480e-04	1.797693e+308	1.797693e+308	3.981590e-05	7.867813e-06	1.797693e+308	1.797693e+308	1.797693e+308
32768	7.548332e-04	4.918575e-04	1.797693e+308	1.797693e+308	7.796288e-05	1.406670e-05	1.797693e+308	1.797693e+308	1.797693e+308
65536	8.840561e-04	9.849072e-04	1.797693e+308	1.797693e+308	1.418591e-04	2.598763e-05	1.797693e+308	1.797693e+308	1.797693e+308
131072	7.979870e-04	1.966953e-03	1.797693e+308	1.797693e+308	2.691746e-04	4.982948e-05	1.797693e+308	1.797693e+308	1.797693e+308
262144	1.372099e-03	3.943920e-03	1.797693e+308	1.797693e+308	4.558563e-04	1.220703e-04	1.797693e+308	1.797693e+308	1.797693e+308
524288	2.044916e-03	7.934093e-03	1.797693e+308	1.797693e+308	8.361340e-04	4.968643e-04	1.797693e+308	1.797693e+308	1.797693e+308
1048576	3.144979e-03	1.591301e-02	1.797693e+308	1.797693e+308	1.633883e-03	1.163960e-03	1.797693e+308	1.797693e+308	1.797693e+308
2097152	5.277872e-03	3.186488e-02	1.797693e+308	1.797693e+308	3.137827e-03	2.411127e-03	1.797693e+308	1.797693e+308	1.797693e+308
4194304	9.705067e-03	6.382704e-02	1.797693e+308	1.797693e+308	6.138802e-03	4.946947e-03	1.797693e+308	1.797693e+308	1.797693e+308
