N	MM1	MM2	SM	SM_COA	cuBlas
1	0.000049	0.000065	0.000054	0.000070	0.000084
2	0.000049	0.000063	0.000052	0.000071	0.000084
4	0.000050	0.000063	0.000053	0.000071	0.000085
8	0.000042	0.000056	0.000046	0.000061	0.000075
16	0.000044	0.000062	0.000046	0.000066	0.000076
32	0.000056	0.000071	0.000049	0.000070	0.000082
64	0.000082	0.000094	0.000070	0.000089	0.000109
128	0.000590	0.000344	0.000237	0.000298	0.000285
256	0.002074	0.002099	0.001405	0.001783	0.001578
512	0.013396	0.013480	0.007853	0.010682	0.007867
1024	0.098373	0.099028	0.054655	0.075347	0.054435
2048	0.763429	0.764970	0.414367	0.572962	0.409164
